------------------------------------------------------------------------------
------------ AVIÓNICA COHETE SONDA ORIÓN UIS - Almacenamiento ----------------
Test: Cálculo altura - MS5611  |  Identificador: 02  |  Etapa de sensado
Autores: Juan Martin Vivas Camargo  |  Santiago Hernández Rincón
------------------------------------------------------------------------------
Contador -> Contador identificador.
Anterior -> Tiempo de muestra anterior.
Actual -> Tiempo de muestra actual.
Intervalo -> Intervalo - diferencia entre muestras.
Temperatura -> Lectura de Temperatura.
Presión -> Lectura de Presión.
Altura -> Lectura de Altura.
------------------------------------------------------------------------------------------------------
Contador________Anterior________Actual__________Intervalo_______Temperatura_____Presión_________Altura
------------------------------------------------------------------------------------------------------
0;		0;		6703;		6703;		19.64;		757.43;		-0.93
52;		8978;		9016;		38;		19.59;		757.21;		1.52
53;		9016;		9054;		38;		19.59;		757.33;		0.18
54;		9054;		9122;		68;		19.59;		757.44;		-1.04
55;		9122;		9168;		46;		19.59;		757.33;		0.18
56;		9168;		9206;		38;		19.59;		757.33;		0.18
57;		9206;		9244;		38;		19.59;		757.33;		0.18
58;		9244;		9282;		38;		19.59;		757.44;		-1.04
59;		9282;		9320;		38;		19.59;		757.44;		-1.04
60;		9320;		9358;		38;		19.59;		757.21;		1.52
61;		9358;		9396;		38;		19.59;		757.44;		-1.04
62;		9396;		9434;		38;		19.59;		757.33;		0.18
63;		9434;		9472;		38;		19.59;		757.33;		0.18
64;		9472;		9510;		38;		19.59;		757.33;		0.18
65;		9510;		9548;		38;		19.59;		757.44;		-1.04
66;		9548;		9594;		46;		19.59;		757.44;		-1.04
67;		9594;		9632;		38;		19.59;		757.44;		-1.04
68;		9632;		9670;		38;		19.59;		757.33;		0.18
69;		9670;		9708;		38;		19.59;		757.33;		0.18
70;		9708;		9746;		38;		19.59;		757.33;		0.18
71;		9746;		9813;		67;		19.59;		757.44;		-1.04
72;		9813;		9851;		38;		19.59;		757.33;		0.18
73;		9851;		9889;		38;		19.59;		757.21;		1.52
74;		9889;		9927;		38;		19.59;		757.33;		0.18
75;		9927;		9965;		38;		19.59;		757.33;		0.18
76;		9965;		10011;		46;		19.59;		757.33;		0.18
77;		10011;		10049;		38;		19.59;		757.33;		0.18
78;		10049;		10087;		38;		19.59;		757.33;		0.18
79;		10087;		10125;		38;		19.59;		757.33;		0.18
80;		10125;		10163;		38;		19.59;		757.33;		0.18
81;		10163;		10201;		38;		19.59;		757.33;		0.18
82;		10201;		10239;		38;		19.59;		757.33;		0.18
83;		10239;		10277;		38;		19.59;		757.33;		0.18
84;		10277;		10315;		38;		19.59;		757.33;		0.18
85;		10315;		10353;		38;		19.59;		757.44;		-1.04
86;		10353;		10391;		38;		19.59;		757.33;		0.18
87;		10391;		10465;		74;		19.59;		757.33;		0.18
88;		10465;		10503;		38;		19.59;		757.33;		0.18
89;		10503;		10541;		38;		19.59;		757.33;		0.18
90;		10541;		10579;		38;		19.59;		757.33;		0.18
91;		10579;		10617;		38;		19.59;		757.33;		0.18
92;		10617;		10655;		38;		19.59;		757.44;		-1.04
93;		10655;		10693;		38;		19.59;		757.33;		0.18
94;		10693;		10731;		38;		19.59;		757.33;		0.18
95;		10731;		10769;		38;		19.59;		757.33;		0.18
96;		10769;		10807;		38;		19.59;		757.33;		0.18
97;		10807;		10853;		46;		19.59;		757.33;		0.18
98;		10853;		10891;		38;		19.59;		757.44;		-1.04
99;		10891;		10929;		38;		19.57;		757.40;		-0.60
100;		10929;		10967;		38;		19.59;		757.33;		0.18
101;		10967;		11005;		38;		19.59;		757.33;		0.18
102;		11005;		11043;		38;		19.59;		757.33;		0.18
103;		11043;		11081;		38;		19.59;		757.33;		0.18
104;		11081;		11136;		55;		19.59;		757.33;		0.18
105;		11136;		11186;		50;		19.59;		757.44;		-1.04
106;		11186;		11224;		38;		19.59;		757.44;		-1.04
107;		11224;		11262;		38;		19.59;		757.44;		-1.04
108;		11262;		11308;		46;		19.59;		757.33;		0.18
109;		11308;		11346;		38;		19.57;		757.40;		-0.60
110;		11346;		11384;		38;		19.59;		757.33;		0.18
111;		11384;		11422;		38;		19.59;		757.33;		0.18
112;		11422;		11460;		38;		19.59;		757.44;		-1.04
113;		11460;		11498;		38;		19.59;		757.33;		0.18
114;		11498;		11536;		38;		19.59;		757.33;		0.18
115;		11536;		11574;		38;		19.59;		757.33;		0.18
116;		11574;		11612;		38;		19.59;		757.33;		0.18
117;		11612;		11650;		38;		19.59;		757.44;		-1.04
118;		11650;		11696;		46;		19.59;		757.33;		0.18
119;		11696;		11734;		38;		19.59;		757.44;		-1.04
120;		11734;		11789;		55;		19.59;		757.33;		0.18
121;		11789;		11827;		38;		19.59;		757.33;		0.18
122;		11827;		11877;		50;		19.57;		757.29;		0.63
123;		11877;		11915;		38;		19.57;		757.40;		-0.60
124;		11915;		11953;		38;		19.57;		757.29;		0.63
125;		11953;		11991;		38;		19.57;		757.29;		0.63
126;		11991;		12029;		38;		19.57;		757.29;		0.63
127;		12029;		12067;		38;		19.59;		757.33;		0.18
128;		12067;		12113;		46;		19.59;		757.33;		0.18
129;		12113;		12151;		38;		19.57;		757.29;		0.63
130;		12151;		12189;		38;		19.57;		757.29;		0.63
131;		12189;		12227;		38;		19.57;		757.29;		0.63
132;		12227;		12265;		38;		19.59;		757.44;		-1.04
133;		12265;		12303;		38;		19.57;		757.29;		0.63
134;		12303;		12341;		38;		19.57;		757.40;		-0.60
135;		12341;		12379;		38;		19.57;		757.40;		-0.60
136;		12379;		12417;		38;		19.59;		757.33;		0.18
137;		12417;		12487;		70;		19.57;		757.40;		-0.60
138;		12487;		12533;		46;		19.57;		757.40;		-0.60
139;		12533;		12582;		49;		19.57;		757.29;		0.63
140;		12582;		12620;		38;		19.57;		757.29;		0.63
141;		12620;		12658;		38;		19.57;		757.18;		1.85
142;		12658;		12696;		38;		19.57;		757.40;		-0.60
143;		12696;		12734;		38;		19.57;		757.29;		0.63
144;		12734;		12772;		38;		19.59;		757.33;		0.18
145;		12772;		12810;		38;		19.57;		757.40;		-0.60
146;		12810;		12848;		38;		19.59;		757.44;		-1.04
147;		12848;		12886;		38;		19.59;		757.33;		0.18
148;		12886;		12932;		46;		19.57;		757.29;		0.63
149;		12932;		12970;		38;		19.57;		757.40;		-0.60
150;		12970;		13008;		38;		19.57;		757.29;		0.63
151;		13008;		13046;		38;		19.57;		757.40;		-0.60
152;		13046;		13084;		38;		19.57;		757.29;		0.63
153;		13084;		13140;		56;		19.57;		757.29;		0.63
154;		13140;		13178;		38;		19.57;		757.40;		-0.60
155;		13178;		13216;		38;		19.57;		757.29;		0.63
156;		13216;		13265;		49;		19.57;		757.29;		0.63
157;		13265;		13303;		38;		19.57;		757.40;		-0.60
158;		13303;		13349;		46;		19.57;		757.40;		-0.60
159;		13349;		13387;		38;		19.57;		757.29;		0.63
160;		13387;		13425;		38;		19.59;		757.33;		0.18
161;		13425;		13463;		38;		19.57;		757.29;		0.63
162;		13463;		13501;		38;		19.57;		757.40;		-0.60
163;		13501;		13539;		38;		19.57;		757.29;		0.63
164;		13539;		13577;		38;		19.57;		757.29;		0.63
165;		13577;		13615;		38;		19.57;		757.40;		-0.60
166;		13615;		13653;		38;		19.57;		757.40;		-0.60
167;		13653;		13691;		38;		19.57;		757.29;		0.63
168;		13691;		13729;		38;		19.57;		757.29;		0.63
169;		13729;		13775;		46;		19.57;		757.29;		0.63
170;		13775;		13830;		55;		19.57;		757.40;		-0.60
171;		13830;		13868;		38;		19.57;		757.40;		-0.60
172;		13868;		13906;		38;		19.57;		757.29;		0.63
173;		13906;		13956;		50;		19.57;		757.29;		0.63
174;		13956;		13994;		38;		19.57;		757.40;		-0.60
175;		13994;		14032;		38;		19.57;		757.40;		-0.60
176;		14032;		14070;		38;		19.57;		757.29;		0.63
177;		14070;		14108;		38;		19.57;		757.29;		0.63
178;		14108;		14146;		38;		19.57;		757.40;		-0.60
179;		14146;		14192;		46;		19.57;		757.29;		0.63
180;		14192;		14230;		38;		19.57;		757.29;		0.63
181;		14230;		14268;		38;		19.57;		757.29;		0.63
182;		14268;		14306;		38;		19.57;		757.40;		-0.60
183;		14306;		14344;		38;		19.57;		757.40;		-0.60
184;		14344;		14382;		38;		19.57;		757.29;		0.63
185;		14382;		14420;		38;		19.57;		757.40;		-0.60
186;		14420;		14476;		56;		19.57;		757.29;		0.63
187;		14476;		14514;		38;		19.57;		757.29;		0.63
188;		14514;		14552;		38;		19.57;		757.40;		-0.60
189;		14552;		14598;		46;		19.57;		757.40;		-0.60
190;		14598;		14647;		49;		19.57;		757.29;		0.63
191;		14647;		14685;		38;		19.57;		757.40;		-0.60
192;		14685;		14723;		38;		19.57;		757.40;		-0.60
193;		14723;		14761;		38;		19.57;		757.40;		-0.60
194;		14761;		14799;		38;		19.59;		757.33;		0.18
195;		14799;		14837;		38;		19.57;		757.29;		0.63
196;		14837;		14875;		38;		19.57;		757.29;		0.63
197;		14875;		14913;		38;		19.57;		757.29;		0.63
198;		14913;		14951;		38;		19.57;		757.29;		0.63
199;		14951;		14997;		46;		19.57;		757.40;		-0.60
200;		14997;		15035;		38;		19.57;		757.40;		-0.60
201;		15035;		15073;		38;		19.57;		757.40;		-0.60
202;		15073;		15111;		38;		19.57;		757.29;		0.63
203;		15111;		15166;		55;		19.57;		757.29;		0.63
204;		15166;		15204;		38;		19.57;		757.29;		0.63
205;		15204;		15242;		38;		19.57;		757.40;		-0.60
206;		15242;		15280;		38;		19.57;		757.40;		-0.60
207;		15280;		15318;		38;		19.57;		757.29;		0.63
208;		15318;		15368;		50;		19.57;		757.40;		-0.60
209;		15368;		15414;		46;		19.57;		757.29;		0.63
210;		15414;		15452;		38;		19.57;		757.40;		-0.60
211;		15452;		15490;		38;		19.57;		757.40;		-0.60
212;		15490;		15528;		38;		19.57;		757.29;		0.63
213;		15528;		15566;		38;		19.57;		757.40;		-0.60
214;		15566;		15604;		38;		19.57;		757.40;		-0.60
215;		15604;		15642;		38;		19.57;		757.40;		-0.60
216;		15642;		15680;		38;		19.57;		757.40;		-0.60
217;		15680;		15718;		38;		19.57;		757.29;		0.63
218;		15718;		15756;		38;		19.57;		757.40;		-0.60
219;		15756;		15819;		63;		19.57;		757.40;		-0.60
220;		15819;		15857;		38;		19.57;		757.29;		0.63
221;		15857;		15895;		38;		19.57;		757.40;		-0.60
222;		15895;		15933;		38;		19.57;		757.40;		-0.60
223;		15933;		15971;		38;		19.57;		757.29;		0.63
224;		15971;		16009;		38;		19.57;		757.29;		0.63
225;		16009;		16058;		49;		19.57;		757.40;		-0.60
226;		16058;		16096;		38;		19.57;		757.40;		-0.60
227;		16096;		16134;		38;		19.57;		757.40;		-0.60
228;		16134;		16172;		38;		19.57;		757.29;		0.63
229;		16172;		16218;		46;		19.57;		757.29;		0.63
230;		16218;		16256;		38;		19.57;		757.29;		0.63
231;		16256;		16294;		38;		19.57;		757.29;		0.63
232;		16294;		16332;		38;		19.57;		757.40;		-0.60
233;		16332;		16370;		38;		19.57;		757.29;		0.63
234;		16370;		16408;		38;		19.57;		757.29;		0.63
235;		16408;		16446;		38;		19.57;		757.40;		-0.60
236;		16446;		16501;		55;		19.57;		757.40;		-0.60
237;		16501;		16539;		38;		19.57;		757.40;		-0.60
238;		16539;		16577;		38;		19.57;		757.29;		0.63
239;		16577;		16615;		38;		19.57;		757.29;		0.63
240;		16615;		16661;		46;		19.57;		757.40;		-0.60
241;		16661;		16699;		38;		19.57;		757.40;		-0.60
242;		16699;		16749;		50;		19.57;		757.40;		-0.60
243;		16749;		16787;		38;		19.57;		757.40;		-0.60
244;		16787;		16825;		38;		19.57;		757.29;		0.63
245;		16825;		16863;		38;		19.57;		757.40;		-0.60
246;		16863;		16901;		38;		19.57;		757.29;		0.63
247;		16901;		16939;		38;		19.57;		757.29;		0.63
248;		16939;		16977;		38;		19.57;		757.40;		-0.60
249;		16977;		17015;		38;		19.57;		757.40;		-0.60
250;		17015;		17061;		46;		19.57;		757.40;		-0.60
251;		17061;		17099;		38;		19.57;		757.29;		0.63
252;		17099;		17155;		56;		19.55;		757.37;		-0.26
253;		17155;		17193;		38;		19.57;		757.40;		-0.60
254;		17193;		17231;		38;		19.57;		757.29;		0.63
255;		17231;		17269;		38;		19.57;		757.29;		0.63
256;		17269;		17307;		38;		19.57;		757.29;		0.63
257;		17307;		17345;		38;		19.57;		757.40;		-0.60
258;		17345;		17383;		38;		19.57;		757.40;		-0.60
259;		17383;		17433;		50;		19.57;		757.40;		-0.60
260;		17433;		17479;		46;		19.57;		757.40;		-0.60
261;		17479;		17517;		38;		19.57;		757.40;		-0.60
262;		17517;		17555;		38;		19.57;		757.40;		-0.60
263;		17555;		17593;		38;		19.57;		757.29;		0.63
264;		17593;		17631;		38;		19.57;		757.29;		0.63
265;		17631;		17669;		38;		19.57;		757.40;		-0.60
266;		17669;		17707;		38;		19.57;		757.40;		-0.60
267;		17707;		17745;		38;		19.57;		757.40;		-0.60
268;		17745;		17783;		38;		19.57;		757.40;		-0.60
269;		17783;		17839;		56;		19.57;		757.40;		-0.60
270;		17839;		17899;		60;		19.57;		757.40;		-0.60
271;		17899;		17937;		38;		19.57;		757.29;		0.63
272;		17937;		17975;		38;		19.55;		757.26;		0.96
273;		17975;		18013;		38;		19.55;		757.37;		-0.26
274;		18013;		18051;		38;		19.57;		757.29;		0.63
275;		18051;		18089;		38;		19.57;		757.40;		-0.60
276;		18089;		18139;		50;		19.57;		757.29;		0.63
277;		18139;		18177;		38;		19.57;		757.29;		0.63
278;		18177;		18215;		38;		19.57;		757.18;		1.85
279;		18215;		18253;		38;		19.57;		757.40;		-0.60
280;		18253;		18299;		46;		19.57;		757.40;		-0.60
281;		18299;		18337;		38;		19.57;		757.29;		0.63
282;		18337;		18375;		38;		19.57;		757.29;		0.63
283;		18375;		18413;		38;		19.57;		757.40;		-0.60
284;		18413;		18451;		38;		19.57;		757.29;		0.63
285;		18451;		18506;		55;		19.55;		757.26;		0.96
286;		18506;		18544;		38;		19.57;		757.29;		0.63
287;		18544;		18582;		38;		19.57;		757.29;		0.63
288;		18582;		18620;		38;		19.57;		757.29;		0.63
289;		18620;		18658;		38;		19.57;		757.40;		-0.60
290;		18658;		18704;		46;		19.57;		757.29;		0.63
291;		18704;		18742;		38;		19.57;		757.40;		-0.60
292;		18742;		18780;		38;		19.59;		757.55;		-2.27
293;		18780;		18829;		49;		19.57;		757.40;		-0.60
294;		18829;		18867;		38;		19.57;		757.40;		-0.60
295;		18867;		18905;		38;		19.57;		757.29;		0.63
296;		18905;		18943;		38;		19.57;		757.40;		-0.60
297;		18943;		18981;		38;		19.57;		757.40;		-0.60
298;		18981;		19019;		38;		19.57;		757.29;		0.63
299;		19019;		19057;		38;		19.57;		757.40;		-0.60
300;		19057;		19103;		46;		19.57;		757.29;		0.63
301;		19103;		19141;		38;		19.57;		757.29;		0.63
302;		19141;		19197;		56;		19.57;		757.40;		-0.60
303;		19197;		19235;		38;		19.57;		757.40;		-0.60
304;		19235;		19273;		38;		19.57;		757.29;		0.63
305;		19273;		19311;		38;		19.57;		757.29;		0.63
306;		19311;		19349;		38;		19.57;		757.40;		-0.60
307;		19349;		19387;		38;		19.57;		757.29;		0.63
308;		19387;		19425;		38;		19.57;		757.40;		-0.60
309;		19425;		19463;		38;		19.57;		757.40;		-0.60
310;		19463;		19555;		92;		19.57;		757.40;		-0.60
311;		19555;		19593;		38;		19.57;		757.29;		0.63
312;		19593;		19631;		38;		19.57;		757.40;		-0.60
313;		19631;		19669;		38;		19.57;		757.29;		0.63
314;		19669;		19707;		38;		19.57;		757.40;		-0.60
315;		19707;		19745;		38;		19.57;		757.29;		0.63
316;		19745;		19783;		38;		19.57;		757.40;		-0.60
317;		19783;		19821;		38;		19.57;		757.40;		-0.60
318;		19821;		19876;		55;		19.57;		757.40;		-0.60
319;		19876;		19914;		38;		19.57;		757.40;		-0.60
320;		19914;		19952;		38;		19.57;		757.40;		-0.60
321;		19952;		19986;		34;		19.57;		757.40;		-0.60
322;		19986;		20024;		38;		19.57;		757.29;		0.63
323;		20024;		20062;		38;		19.57;		757.29;		0.63
324;		20062;		20100;		38;		19.57;		757.29;		0.63
325;		20100;		20138;		38;		19.57;		757.40;		-0.60
326;		20138;		20176;		38;		19.57;		757.40;		-0.60
327;		20176;		20214;		38;		19.57;		757.29;		0.63
328;		20214;		20264;		50;		19.57;		757.40;		-0.60
329;		20264;		20302;		38;		19.57;		757.29;		0.63
330;		20302;		20340;		38;		19.57;		757.29;		0.63
331;		20340;		20385;		45;		19.57;		757.40;		-0.60
332;		20385;		20423;		38;		19.57;		757.40;		-0.60
333;		20423;		20461;		38;		19.57;		757.29;		0.63
334;		20461;		20499;		38;		19.57;		757.40;		-0.60
335;		20499;		20555;		56;		19.57;		757.18;		1.85
336;		20555;		20593;		38;		19.57;		757.29;		0.63
337;		20593;		20631;		38;		19.57;		757.40;		-0.60
338;		20631;		20669;		38;		19.57;		757.40;		-0.60
339;		20669;		20707;		38;		19.57;		757.40;		-0.60
340;		20707;		20745;		38;		19.57;		757.40;		-0.60
341;		20745;		20791;		46;		19.57;		757.29;		0.63
342;		20791;		20829;		38;		19.57;		757.29;		0.63
343;		20829;		20867;		38;		19.57;		757.29;		0.63
344;		20867;		20905;		38;		19.57;		757.40;		-0.60
345;		20905;		20943;		38;		19.57;		757.40;		-0.60
346;		20943;		20993;		50;		19.57;		757.40;		-0.60
347;		20993;		21031;		38;		19.57;		757.40;		-0.60
348;		21031;		21069;		38;		19.57;		757.40;		-0.60
349;		21069;		21107;		38;		19.57;		757.29;		0.63
350;		21107;		21145;		38;		19.57;		757.40;		-0.60
351;		21145;		21191;		46;		19.57;		757.29;		0.63
352;		21191;		21247;		56;		19.55;		757.26;		0.96
353;		21247;		21285;		38;		19.57;		757.29;		0.63
354;		21285;		21323;		38;		19.57;		757.40;		-0.60
355;		21323;		21361;		38;		19.57;		757.29;		0.63
356;		21361;		21399;		38;		19.57;		757.29;		0.63
357;		21399;		21437;		38;		19.57;		757.40;		-0.60
358;		21437;		21475;		38;		19.57;		757.40;		-0.60
359;		21475;		21513;		38;		19.57;		757.40;		-0.60
360;		21513;		21551;		38;		19.57;		757.29;		0.63
361;		21551;		21597;		46;		19.57;		757.40;		-0.60
362;		21597;		21635;		38;		19.57;		757.29;		0.63
363;		21635;		21685;		50;		19.57;		757.40;		-0.60
364;		21685;		21723;		38;		19.57;		757.29;		0.63
365;		21723;		21761;		38;		19.57;		757.40;		-0.60
366;		21761;		21799;		38;		19.57;		757.29;		0.63
367;		21799;		21837;		38;		19.57;		757.29;		0.63
368;		21837;		21892;		55;		19.57;		757.40;		-0.60
369;		21892;		21930;		38;		19.57;		757.40;		-0.60
370;		21930;		21968;		38;		19.57;		757.29;		0.63
371;		21968;		22014;		46;		19.57;		757.29;		0.63
372;		22014;		22052;		38;		19.57;		757.29;		0.63
373;		22052;		22090;		38;		19.57;		757.29;		0.63
374;		22090;		22128;		38;		19.57;		757.40;		-0.60
375;		22128;		22166;		38;		19.57;		757.40;		-0.60
376;		22166;		22204;		38;		19.57;		757.29;		0.63
377;		22204;		22242;		38;		19.57;		757.40;		-0.60
378;		22242;		22280;		38;		19.57;		757.40;		-0.60
379;		22280;		22318;		38;		19.57;		757.40;		-0.60
380;		22318;		22367;		49;		19.57;		757.40;		-0.60
381;		22367;		22413;		46;		19.57;		757.40;		-0.60
382;		22413;		22451;		38;		19.57;		757.29;		0.63
383;		22451;		22489;		38;		19.57;		757.40;		-0.60
384;		22489;		22527;		38;		19.57;		757.40;		-0.60
385;		22527;		22582;		55;		19.57;		757.29;		0.63
386;		22582;		22620;		38;		19.57;		757.29;		0.63
387;		22620;		22658;		38;		19.57;		757.29;		0.63
388;		22658;		22696;		38;		19.57;		757.40;		-0.60
389;		22696;		22734;		38;		19.57;		757.40;		-0.60
390;		22734;		22772;		38;		19.57;		757.40;		-0.60
391;		22772;		22818;		46;		19.57;		757.29;		0.63
392;		22818;		22856;		38;		19.57;		757.29;		0.63
393;		22856;		22894;		38;		19.57;		757.40;		-0.60
394;		22894;		22932;		38;		19.57;		757.40;		-0.60
395;		22932;		22970;		38;		19.57;		757.40;		-0.60
396;		22970;		23008;		38;		19.57;		757.40;		-0.60
397;		23008;		23057;		49;		19.57;		757.29;		0.63
398;		23057;		23095;		38;		19.57;		757.29;		0.63
399;		23095;		23133;		38;		19.57;		757.29;		0.63
400;		23133;		23171;		38;		19.57;		757.29;		0.63
401;		23171;		23226;		55;		19.57;		757.29;		0.63
402;		23226;		23272;		46;		19.57;		757.29;		0.63
403;		23272;		23310;		38;		19.57;		757.40;		-0.60
404;		23310;		23348;		38;		19.57;		757.29;		0.63
405;		23348;		23386;		38;		19.57;		757.29;		0.63
406;		23386;		23424;		38;		19.57;		757.29;		0.63
407;		23424;		23462;		38;		19.57;		757.29;		0.63
408;		23462;		23500;		38;		19.57;		757.40;		-0.60
409;		23500;		23538;		38;		19.57;		757.29;		0.63
410;		23538;		23576;		38;		19.57;		757.40;		-0.60
411;		23576;		23614;		38;		19.57;		757.29;		0.63
412;		23614;		23660;		46;		19.57;		757.29;		0.63
413;		23660;		23698;		38;		19.55;		757.26;		0.96
414;		23698;		23748;		50;		19.57;		757.29;		0.63
415;		23748;		23786;		38;		19.57;		757.40;		-0.60
416;		23786;		23824;		38;		19.57;		757.40;		-0.60
417;		23824;		23862;		38;		19.57;		757.40;		-0.60
418;		23862;		23918;		56;		19.57;		757.40;		-0.60
419;		23918;		23956;		38;		19.57;		757.40;		-0.60
420;		23956;		23994;		38;		19.57;		757.29;		0.63
421;		23994;		24032;		38;		19.57;		757.40;		-0.60
422;		24032;		24078;		46;		19.57;		757.40;		-0.60
423;		24078;		24116;		38;		19.57;		757.29;		0.63
424;		24116;		24154;		38;		19.57;		757.29;		0.63
425;		24154;		24192;		38;		19.57;		757.29;		0.63
426;		24192;		24230;		38;		19.57;		757.29;		0.63
427;		24230;		24268;		38;		19.57;		757.29;		0.63
428;		24268;		24306;		38;		19.57;		757.40;		-0.60
429;		24306;		24344;		38;		19.57;		757.29;		0.63
430;		24344;		24382;		38;		19.57;		757.29;		0.63
431;		24382;		24420;		38;		19.57;		757.40;		-0.60
432;		24420;		24478;		58;		19.57;		757.29;		0.63
433;		24478;		24516;		38;		19.57;		757.29;		0.63
434;		24516;		24571;		55;		19.57;		757.29;		0.63
435;		24571;		24609;		38;		19.57;		757.40;		-0.60
436;		24609;		24647;		38;		19.55;		757.26;		0.96
437;		24647;		24685;		38;		19.57;		757.40;		-0.60
438;		24685;		24723;		38;		19.57;		757.40;		-0.60
439;		24723;		24761;		38;		19.57;		757.29;		0.63
440;		24761;		24799;		38;		19.57;		757.40;		-0.60
441;		24799;		24837;		38;		19.57;		757.40;		-0.60
442;		24837;		24883;		46;		19.57;		757.29;		0.63
443;		24883;		24921;		38;		19.57;		757.29;		0.63
444;		24921;		24959;		38;		19.57;		757.40;		-0.60
445;		24959;		24997;		38;		19.57;		757.40;		-0.60
446;		24997;		25035;		38;		19.57;		757.40;		-0.60
447;		25035;		25073;		38;		19.57;		757.29;		0.63
448;		25073;		25111;		38;		19.57;		757.40;		-0.60
449;		25111;		25161;		50;		19.57;		757.29;		0.63
450;		25161;		25199;		38;		19.57;		757.29;		0.63
451;		25199;		25254;		55;		19.57;		757.40;		-0.60
452;		25254;		25300;		46;		19.57;		757.40;		-0.60
453;		25300;		25338;		38;		19.57;		757.40;		-0.60
454;		25338;		25376;		38;		19.57;		757.29;		0.63
455;		25376;		25414;		38;		19.57;		757.29;		0.63
456;		25414;		25452;		38;		19.57;		757.29;		0.63
457;		25452;		25490;		38;		19.57;		757.29;		0.63
458;		25490;		25528;		38;		19.59;		757.33;		0.18
459;		25528;		25566;		38;		19.57;		757.40;		-0.60
460;		25566;		25604;		38;		19.57;		757.29;		0.63
461;		25604;		25642;		38;		19.57;		757.29;		0.63
462;		25642;		25680;		38;		19.57;		757.40;		-0.60
463;		25680;		25714;		34;		19.57;		757.40;		-0.60
464;		25714;		25752;		38;		19.57;		757.40;		-0.60
465;		25752;		25790;		38;		19.57;		757.29;		0.63
466;		25790;		25839;		49;		19.57;		757.40;		-0.60
