Contador	Anterior	Actual	Intervalo	X_acc	Y_acc	Z_avv	X_gyr	Y_gyr	Z_gyr	X_mag	Y_mag	Z_mah
24;	5275;	5421;	146;	0.22;	-0.98;	9.42;	-0.13;	0.00;	0.06;	-0.13;	0.00;	0.06
25;	5421;	5552;	131;	0.21;	-0.95;	9.44;	0.00;	0.00;	-0.06;	0.00;	0.00;	-0.06
26;	5552;	5683;	131;	0.21;	-0.98;	9.40;	0.06;	-0.19;	0.06;	0.06;	-0.19;	0.06
27;	5683;	5821;	138;	0.22;	-0.98;	9.41;	0.00;	0.06;	-0.13;	0.00;	0.06;	-0.13
28;	5821;	5950;	129;	0.21;	-0.99;	9.44;	-0.06;	0.06;	-0.06;	-0.06;	0.06;	-0.06
29;	5950;	6078;	128;	0.20;	-1.00;	9.45;	0.00;	0.13;	0.13;	0.00;	0.13;	0.13
30;	6078;	6206;	128;	0.20;	-0.97;	9.42;	-0.06;	-0.06;	0.06;	0.00;	-0.06;	0.13
31;	6206;	6336;	130;	0.20;	-0.99;	9.44;	0.00;	0.13;	0.13;	-0.13;	-0.06;	0.06
32;	6336;	6466;	130;	0.19;	-0.98;	9.42;	-0.06;	0.00;	0.00;	-0.06;	0.00;	0.00
33;	6466;	6595;	129;	0.21;	-0.97;	9.43;	0.00;	-0.06;	-0.06;	0.00;	-0.06;	-0.06
34;	6595;	6722;	127;	0.21;	-0.97;	9.42;	0.00;	-0.19;	0.06;	0.00;	-0.19;	0.06
35;	6722;	6861;	139;	0.21;	-1.00;	9.43;	-0.06;	-0.06;	0.00;	-0.06;	-0.06;	0.00
36;	6861;	6989;	128;	0.22;	-0.99;	9.44;	0.00;	0.06;	0.06;	-0.06;	-0.06;	0.06
37;	6989;	7119;	130;	0.21;	-0.99;	9.40;	0.00;	-0.06;	0.00;	0.00;	-0.06;	0.00
38;	7119;	7249;	130;	0.22;	-0.99;	9.42;	-0.06;	0.13;	-0.13;	0.06;	0.06;	-0.06
39;	7249;	7379;	130;	0.22;	-0.98;	9.44;	0.00;	0.06;	0.00;	0.00;	0.06;	0.00
40;	7379;	7518;	139;	0.22;	-1.00;	9.45;	-0.13;	0.00;	-0.06;	-0.13;	0.00;	-0.06
41;	7518;	7663;	145;	0.21;	-0.99;	9.45;	0.00;	-0.13;	0.06;	0.00;	-0.13;	0.06
42;	7663;	7792;	129;	0.21;	-0.99;	9.43;	0.00;	-0.06;	0.13;	-0.13;	-0.13;	-0.13
43;	7792;	7921;	129;	0.22;	-0.98;	9.45;	-0.06;	-0.13;	0.00;	-0.06;	-0.13;	0.00
44;	7921;	8050;	129;	0.22;	-1.01;	9.42;	0.06;	0.19;	0.06;	0.06;	0.19;	0.06
45;	8050;	8181;	131;	0.21;	-0.98;	9.45;	-0.06;	-0.06;	0.00;	-0.06;	-0.06;	0.00
46;	8181;	8312;	131;	0.22;	-0.97;	9.42;	0.06;	0.19;	-0.13;	0.06;	0.19;	-0.13
47;	8312;	8451;	139;	0.22;	-0.97;	9.42;	0.06;	0.19;	0.06;	0.06;	0.19;	0.06
48;	8451;	8581;	130;	0.22;	-0.98;	9.44;	0.00;	0.13;	0.13;	0.00;	0.13;	0.13
49;	8581;	8710;	129;	0.21;	-0.98;	9.44;	-0.06;	0.19;	-0.06;	-0.06;	0.19;	-0.06
50;	8710;	8838;	128;	0.20;	-0.97;	9.44;	-0.13;	0.13;	-0.06;	-0.13;	0.13;	-0.06
51;	8838;	8966;	128;	0.21;	-0.98;	9.43;	0.00;	0.13;	-0.13;	0.00;	0.00;	-0.06
52;	8966;	9108;	142;	0.21;	-0.99;	9.43;	0.06;	0.00;	0.13;	0.06;	0.00;	0.13
53;	9108;	9245;	137;	0.22;	-0.98;	9.44;	0.00;	-0.13;	0.06;	0.00;	-0.13;	0.06
54;	9245;	9376;	131;	0.22;	-0.98;	9.44;	-0.06;	0.00;	0.13;	-0.06;	0.00;	0.13
55;	9376;	9505;	129;	0.22;	-1.00;	9.43;	-0.06;	0.06;	0.06;	-0.06;	0.06;	0.06
56;	9505;	9635;	130;	0.22;	-0.98;	9.44;	-0.13;	0.19;	0.06;	-0.13;	0.19;	0.06
57;	9635;	9765;	130;	0.23;	-0.97;	9.44;	-0.06;	0.00;	0.13;	-0.06;	0.00;	0.13
58;	9765;	9912;	147;	0.22;	-0.97;	9.43;	0.00;	0.00;	0.19;	0.00;	0.00;	0.19
59;	9912;	10040;	128;	0.23;	-0.99;	9.44;	0.00;	0.00;	0.13;	-0.06;	-0.13;	-0.06
60;	10040;	10178;	138;	0.21;	-0.99;	9.46;	-0.06;	0.06;	-0.25;	-0.06;	0.06;	-0.25
61;	10178;	10306;	128;	0.21;	-0.98;	9.41;	-0.06;	0.00;	-0.06;	-0.06;	0.00;	-0.06
62;	10306;	10434;	128;	0.21;	-0.97;	9.44;	0.00;	0.06;	-0.06;	0.00;	0.06;	-0.06
63;	10434;	10562;	128;	0.22;	-0.98;	9.43;	0.00;	0.19;	0.00;	0.06;	-0.06;	0.06
64;	10562;	10692;	130;	0.21;	-0.98;	9.44;	0.00;	0.19;	0.00;	0.00;	0.00;	0.00
65;	10692;	10822;	130;	0.19;	-0.99;	9.43;	0.00;	-0.06;	0.00;	-0.06;	-0.13;	0.13
66;	10822;	10960;	138;	0.20;	-0.98;	9.39;	0.00;	-0.06;	-0.13;	0.00;	-0.06;	-0.13
67;	10960;	11090;	130;	0.22;	-1.00;	9.45;	-0.13;	0.06;	0.00;	-0.13;	0.06;	0.00
68;	11090;	11229;	139;	0.22;	-0.97;	9.43;	-0.06;	0.19;	-0.13;	-0.06;	0.19;	-0.13
69;	11229;	11357;	128;	0.20;	-0.97;	9.44;	-0.06;	-0.06;	0.00;	-0.06;	-0.06;	0.00
70;	11357;	11485;	128;	0.21;	-0.98;	9.43;	-0.06;	0.13;	-0.06;	0.06;	0.13;	-0.06
71;	11485;	11615;	130;	0.21;	-0.99;	9.41;	0.31;	0.00;	0.06;	0.25;	0.00;	0.06
72;	11615;	11753;	138;	0.19;	-1.01;	9.39;	0.06;	-0.13;	0.19;	0.06;	-0.13;	0.19
73;	11753;	11883;	130;	-1.70;	-1.21;	9.28;	-1.94;	0.25;	8.50;	-1.94;	0.25;	8.50
74;	11883;	12028;	145;	0.49;	-0.42;	8.61;	-5.44;	-2.25;	4.31;	-5.44;	-2.25;	4.31
75;	12028;	12157;	129;	4.91;	-1.22;	9.30;	-2.12;	1.31;	19.81;	-4.69;	2.56;	12.56
76;	12157;	12287;	130;	2.65;	-1.07;	9.22;	-0.06;	16.37;	-29.69;	-0.06;	16.37;	-29.69
77;	12287;	12415;	128;	-3.17;	-1.35;	9.92;	1.56;	-20.88;	-38.00;	1.56;	-20.88;	-38.00
78;	12415;	12545;	130;	-6.61;	-1.67;	9.76;	-2.12;	6.75;	7.69;	-2.12;	6.75;	7.69
79;	12545;	12681;	136;	-1.73;	-1.49;	8.99;	14.81;	7.06;	51.37;	14.81;	7.06;	51.37
80;	12681;	12810;	129;	7.62;	-1.12;	9.26;	3.44;	-0.88;	33.88;	6.87;	0.37;	29.25
81;	12810;	12939;	129;	6.87;	-1.03;	9.23;	-4.94;	-1.12;	-29.31;	-4.94;	-1.12;	-29.31
82;	12939;	13067;	128;	-6.71;	-2.14;	9.98;	2.25;	2.19;	-59.88;	2.25;	2.19;	-59.88
83;	13067;	13197;	130;	-0.45;	3.02;	10.40;	10.38;	-24.44;	21.62;	10.38;	-24.44;	21.62
84;	13197;	13325;	128;	1.33;	-1.03;	13.21;	-25.06;	36.75;	-13.62;	-25.06;	36.75;	-13.62
85;	13325;	13504;	179;	-0.19;	-6.81;	9.61;	19.75;	20.50;	16.62;	12.19;	13.00;	24.37
86;	13504;	13632;	128;	2.99;	-0.83;	9.03;	75.25;	-44.00;	-11.88;	5.44;	-35.50;	-18.25
87;	13632;	13762;	130;	-0.15;	6.62;	9.81;	-14.87;	14.25;	10.50;	-14.87;	14.25;	10.50
88;	13762;	13892;	130;	-0.24;	2.89;	7.55;	-6.81;	53.00;	14.00;	-6.81;	53.00;	14.00
89;	13892;	14020;	128;	0.72;	-8.60;	13.26;	34.13;	-54.06;	-5.50;	34.13;	-54.06;	-5.50
90;	14020;	14149;	129;	-0.42;	-8.53;	8.13;	-7.06;	6.56;	10.31;	-7.06;	6.56;	10.31
91;	14149;	14301;	152;	0.18;	3.84;	10.12;	32.56;	-7.25;	-42.44;	32.56;	-7.25;	-42.44
92;	14301;	14428;	127;	0.75;	7.07;	10.12;	9.13;	12.13;	24.81;	9.13;	12.13;	24.81
93;	14428;	14556;	128;	-0.06;	-8.17;	16.75;	-17.56;	6.44;	22.31;	-17.56;	6.44;	22.31
94;	14556;	14684;	128;	-1.90;	-9.00;	11.02;	-16.19;	8.94;	8.19;	-16.19;	8.94;	8.19
95;	14684;	14815;	131;	1.41;	-5.55;	8.93;	-33.25;	-5.06;	-27.50;	-33.25;	-5.06;	-27.50
96;	14815;	14945;	130;	0.28;	-0.89;	8.27;	-6.19;	-2.06;	-16.31;	-6.19;	-2.06;	-16.31
97;	14945;	15081;	136;	-0.40;	6.40;	10.58;	15.00;	3.62;	59.31;	15.00;	3.62;	59.31
98;	15081;	15209;	128;	0.61;	-6.75;	16.54;	-99.37;	10.13;	-30.50;	-99.37;	10.13;	-30.50
99;	15209;	15337;	128;	-1.08;	-5.76;	9.58;	-0.31;	1.06;	1.50;	-0.31;	1.06;	1.50
100;	15337;	15468;	131;	-1.47;	-8.63;	8.72;	4.25;	5.19;	-21.87;	10.31;	-5.44;	-19.00
101;	15468;	15598;	130;	1.90;	2.15;	8.31;	8.50;	-11.19;	-8.56;	8.50;	-11.19;	-8.56
102;	15598;	15736;	138;	-0.30;	3.96;	9.34;	57.44;	5.56;	39.81;	57.44;	5.56;	39.81
103;	15736;	15874;	138;	0.00;	-9.60;	18.12;	-89.19;	-38.56;	-12.56;	-89.19;	-38.56;	-12.56
104;	15874;	16001;	127;	-0.67;	-11.70;	9.05;	-10.88;	-0.06;	-3.37;	-10.88;	-0.06;	-3.37
105;	16001;	16129;	128;	-1.38;	1.91;	12.68;	1.25;	4.00;	-28.44;	1.25;	4.00;	-28.44
106;	16129;	16260;	131;	0.08;	6.58;	9.88;	-28.44;	-6.81;	6.50;	-28.44;	-6.81;	6.50
107;	16260;	16404;	144;	-0.47;	0.40;	6.76;	2.06;	5.75;	-0.56;	7.19;	-0.81;	4.12
108;	16404;	16532;	128;	0.22;	-9.66;	8.59;	-11.06;	7.12;	23.75;	4.44;	10.88;	26.19
109;	16532;	16670;	138;	-0.43;	-5.04;	7.11;	29.12;	-7.25;	-10.06;	29.12;	-7.25;	-10.06
110;	16670;	16800;	130;	-0.91;	5.28;	10.18;	-7.19;	0.19;	-78.19;	-7.19;	0.19;	-78.19
111;	16800;	16928;	128;	-7.07;	-3.83;	9.84;	-4.44;	-8.88;	43.56;	-4.44;	-8.88;	43.56
112;	16928;	17056;	128;	-0.94;	-1.83;	10.11;	15.31;	17.56;	61.25;	1.56;	25.62;	61.44
113;	17056;	17184;	128;	9.86;	-0.19;	10.18;	-37.81;	17.44;	-4.94;	-16.19;	19.87;	-16.62
114;	17184;	17314;	130;	7.02;	-2.03;	7.35;	28.38;	-3.87;	-46.88;	28.38;	-3.87;	-46.88
115;	17314;	17450;	136;	-8.31;	-2.71;	11.14;	-4.25;	0.88;	-37.38;	-4.25;	0.88;	-37.38
116;	17450;	17578;	128;	-11.44;	-2.37;	9.69;	-4.81;	-21.06;	34.69;	-4.81;	-21.06;	34.69
117;	17578;	17707;	129;	0.07;	-2.37;	9.99;	-9.81;	15.56;	30.25;	-9.81;	15.56;	30.25
118;	17707;	17846;	139;	14.52;	1.31;	10.05;	-18.19;	16.06;	22.25;	-18.19;	16.06;	22.25
119;	17846;	17977;	131;	6.76;	-2.14;	5.77;	-3.25;	-27.44;	3.19;	-66.69;	-17.87;	-6.44
120;	17977;	18115;	138;	-10.78;	-2.35;	10.99;	-7.62;	-11.94;	-38.31;	-7.62;	-11.94;	-38.31
121;	18115;	18243;	128;	-8.68;	-3.50;	7.91;	4.81;	3.75;	10.25;	4.81;	3.75;	10.25
122;	18243;	18371;	128;	3.84;	-2.08;	10.42;	11.50;	-25.75;	79.00;	11.50;	-25.75;	79.00
123;	18371;	18499;	128;	12.34;	0.49;	7.32;	17.81;	11.25;	6.37;	15.44;	12.63;	1.81
124;	18499;	18663;	164;	-1.50;	0.08;	8.54;	-10.94;	20.19;	-83.31;	-10.94;	20.19;	-83.31
125;	18663;	18791;	128;	-11.50;	-2.48;	9.72;	-4.75;	-16.44;	-10.94;	6.00;	-18.62;	-2.37
126;	18791;	18929;	138;	-6.63;	-3.98;	9.96;	-6.44;	5.94;	38.94;	-6.44;	5.94;	38.94
127;	18929;	19060;	131;	9.27;	0.61;	6.79;	-4.06;	-4.94;	59.31;	-4.06;	-4.94;	59.31
128;	19060;	19188;	128;	11.35;	-0.49;	8.35;	11.94;	-6.00;	-37.81;	11.94;	-6.00;	-37.81
129;	19188;	19317;	129;	-2.45;	-1.37;	9.69;	12.63;	12.44;	-54.75;	12.63;	12.44;	-54.75
130;	19317;	19445;	128;	-13.00;	-1.25;	9.91;	-2.19;	-10.56;	8.00;	-2.19;	-10.56;	8.00
131;	19445;	19574;	129;	-5.63;	-4.22;	8.75;	-2.56;	11.25;	33.19;	-2.56;	11.25;	33.19
132;	19574;	19711;	137;	14.37;	0.60;	11.34;	23.56;	-28.87;	56.94;	23.56;	-28.87;	56.94
133;	19711;	19839;	128;	10.45;	-0.08;	8.47;	42.00;	-3.75;	-36.06;	42.00;	-3.75;	-36.06
134;	19839;	19967;	128;	-4.24;	-3.04;	10.44;	3.19;	18.06;	-76.12;	6.37;	13.25;	-69.56
135;	19967;	20107;	140;	-14.38;	-1.38;	9.68;	-1.31;	-12.94;	19.81;	-1.31;	-12.94;	19.81
136;	20107;	20236;	129;	-2.54;	-4.51;	10.92;	0.88;	-6.75;	81.81;	16.62;	-9.88;	80.25
137;	20236;	20366;	130;	17.48;	0.13;	8.28;	-14.06;	1.50;	22.62;	-14.06;	1.50;	22.62
138;	20366;	20502;	136;	1.28;	-3.62;	7.06;	-36.69;	10.19;	-78.31;	-36.69;	10.19;	-78.31
139;	20502;	20630;	128;	-10.59;	-1.95;	10.25;	8.19;	-2.37;	-26.25;	8.19;	-2.37;	-26.25
140;	20630;	20775;	145;	2.40;	0.54;	8.79;	-1.19;	4.56;	12.25;	-1.19;	4.56;	12.25
141;	20775;	20903;	128;	0.14;	-1.43;	10.56;	-7.44;	3.25;	-4.31;	-7.44;	3.25;	-4.31
142;	20903;	21031;	128;	0.47;	-1.51;	20.55;	30.31;	17.56;	9.56;	30.31;	17.56;	9.56
143;	21031;	21159;	128;	0.43;	-2.13;	-4.86;	100.06;	4.69;	-3.37;	100.69;	4.31;	-1.87
144;	21159;	21297;	138;	0.02;	1.92;	0.69;	-87.31;	-9.75;	17.81;	-87.31;	-9.75;	17.81
145;	21297;	21428;	131;	-2.87;	1.60;	21.81;	-39.69;	84.37;	0.25;	-39.69;	84.37;	0.25
146;	21428;	21556;	128;	-0.67;	-5.01;	15.35;	27.56;	-53.94;	-5.81;	27.56;	-53.94;	-5.81
147;	21556;	21685;	129;	-2.96;	0.73;	11.63;	80.12;	-57.19;	17.62;	80.12;	-57.19;	17.62
148;	21685;	21813;	128;	1.49;	0.59;	-3.54;	14.31;	-5.75;	-3.81;	14.31;	-5.75;	-3.81
149;	21813;	21942;	129;	-1.64;	0.18;	6.20;	-96.00;	129.87;	-30.50;	-86.37;	122.19;	-34.31
150;	21942;	22080;	138;	-3.03;	-1.70;	15.13;	18.12;	44.88;	-46.00;	18.12;	44.88;	-46.00
151;	22080;	22218;	138;	0.17;	-2.18;	8.82;	-1.00;	-23.75;	-35.56;	-1.00;	-23.75;	-35.56
152;	22218;	22346;	128;	-0.54;	-2.69;	8.32;	-111.12;	-97.06;	-14.13;	-111.12;	-97.06;	-14.13
153;	22346;	22474;	128;	0.52;	-3.44;	10.01;	19.87;	5.00;	14.38;	19.87;	5.00;	14.38
154;	22474;	22602;	128;	-0.15;	1.03;	8.51;	68.00;	3.19;	10.69;	68.00;	3.19;	10.69
155;	22602;	22733;	131;	-1.22;	-0.95;	12.54;	-40.94;	46.63;	-12.25;	-40.94;	46.63;	-12.25
156;	22733;	22882;	149;	-0.64;	-3.52;	13.88;	90.00;	-5.56;	7.06;	90.00;	-5.56;	7.06
157;	22882;	23026;	144;	-0.52;	-0.93;	-8.95;	75.44;	-19.37;	3.44;	75.44;	-19.37;	3.44
158;	23026;	23154;	128;	1.29;	-1.75;	4.26;	-145.25;	32.13;	7.31;	-145.25;	32.13;	7.31
159;	23154;	23285;	131;	0.56;	0.19;	26.60;	-89.50;	-51.56;	-15.94;	-89.50;	-51.56;	-15.94
160;	23285;	23413;	128;	-1.74;	-3.88;	16.60;	134.25;	71.81;	10.50;	134.25;	71.81;	10.50
161;	23413;	23542;	129;	0.73;	0.17;	-8.07;	194.25;	-30.37;	-2.44;	194.25;	-30.37;	-2.44
162;	23542;	23678;	136;	0.20;	-0.59;	1.64;	-182.37;	25.81;	12.25;	-182.37;	25.81;	12.25
163;	23678;	23805;	127;	-3.34;	-4.69;	18.87;	-60.94;	-40.19;	1.75;	-60.94;	-40.19;	1.75
164;	23805;	23935;	130;	-0.09;	-4.69;	19.91;	92.12;	45.63;	-6.00;	92.12;	45.63;	-6.00
165;	23935;	24063;	128;	-0.64;	-2.94;	5.84;	174.12;	35.50;	-4.31;	174.12;	35.50;	-4.31
166;	24063;	24191;	128;	1.08;	0.60;	-13.28;	79.87;	-58.06;	18.37;	23.87;	-44.81;	20.50
167;	24191;	24359;	168;	-1.83;	-3.11;	21.75;	-87.50;	9.00;	21.37;	-87.50;	9.00;	21.37
168;	24359;	24501;	142;	2.94;	-2.41;	22.77;	-27.62;	26.81;	-27.19;	8.69;	53.06;	-20.62
169;	24501;	24631;	130;	-1.49;	-4.71;	12.91;	146.13;	54.44;	10.63;	146.13;	54.44;	10.63
170;	24631;	24759;	128;	0.49;	0.60;	-13.16;	123.87;	-100.94;	11.63;	123.87;	-100.94;	11.63
171;	24759;	24890;	131;	1.64;	-3.07;	2.79;	-228.25;	16.37;	12.69;	-228.25;	16.37;	12.69
172;	24890;	25018;	128;	2.15;	-2.97;	27.10;	-132.69;	45.12;	-17.25;	-132.69;	45.12;	-17.25
173;	25018;	25172;	154;	-2.08;	-5.68;	20.13;	152.87;	16.44;	18.94;	152.87;	16.44;	18.94
174;	25172;	25302;	130;	1.27;	-1.53;	-11.06;	174.50;	-52.88;	9.75;	174.50;	-52.88;	9.75
175;	25302;	25433;	131;	1.00;	-4.54;	-0.01;	-235.94;	16.37;	3.37;	-235.94;	16.37;	3.37
176;	25433;	25561;	128;	-2.14;	-2.34;	19.23;	-36.25;	-1.37;	1.37;	-36.25;	-1.37;	1.37
177;	25561;	25691;	130;	-0.77;	2.54;	20.33;	358.63;	32.00;	-11.06;	358.63;	32.00;	-11.06
178;	25691;	25819;	128;	-1.02;	2.56;	3.76;	383.56;	11.63;	9.00;	383.56;	11.63;	9.00
179;	25819;	25955;	136;	0.84;	-4.83;	-2.34;	46.50;	6.44;	53.00;	46.50;	6.44;	53.00
180;	25955;	26085;	130;	-1.17;	9.52;	2.00;	-134.19;	10.81;	-26.37;	-134.19;	10.81;	-26.37
181;	26085;	26213;	128;	0.99;	18.21;	1.93;	-32.13;	-27.31;	56.31;	-32.13;	-27.31;	56.31
182;	26213;	26342;	129;	-0.24;	18.83;	5.47;	90.12;	11.31;	-55.00;	90.12;	11.31;	-55.00
183;	26342;	26470;	128;	0.63;	-4.53;	-1.43;	198.44;	-10.63;	19.56;	198.44;	-10.63;	19.56
184;	26470;	26599;	129;	0.60;	-4.87;	-0.75;	-80.44;	13.13;	-13.62;	-80.44;	13.13;	-13.62
185;	26599;	26747;	148;	-0.98;	16.82;	3.88;	-189.25;	9.69;	-16.50;	-189.25;	9.69;	-16.50
186;	26747;	26875;	128;	-2.27;	21.15;	1.87;	20.69;	-26.81;	-8.13;	20.69;	-26.81;	-8.13
187;	26875;	27004;	129;	0.31;	8.11;	4.72;	225.00;	10.81;	12.50;	225.00;	10.81;	12.50
188;	27004;	27132;	128;	-0.04;	-6.45;	-0.65;	18.06;	16.31;	-4.50;	18.06;	16.31;	-4.50
189;	27132;	27261;	129;	-0.98;	7.95;	-3.82;	-41.88;	-19.75;	-16.50;	-93.75;	-23.44;	-15.13
190;	27261;	27408;	147;	-0.15;	11.77;	-1.28;	-44.75;	21.00;	30.94;	-44.75;	21.00;	30.94
191;	27408;	27547;	139;	0.37;	8.88;	-0.12;	23.69;	3.56;	4.87;	23.69;	3.56;	4.87
192;	27547;	27675;	128;	-0.42;	8.15;	-1.67;	29.37;	-9.81;	8.25;	29.37;	-9.81;	8.25
193;	27675;	27803;	128;	-0.04;	9.78;	-0.32;	71.25;	3.00;	-14.94;	71.25;	3.00;	-14.94
194;	27803;	27932;	129;	0.07;	8.31;	-0.73;	-25.06;	-2.62;	7.87;	-25.06;	-2.62;	7.87
195;	27932;	28062;	130;	0.21;	8.26;	-1.25;	-11.44;	-8.81;	-3.94;	-11.44;	-8.81;	-3.94
196;	28062;	28193;	131;	-1.09;	8.47;	-1.28;	26.44;	6.62;	31.81;	26.44;	6.62;	31.81
197;	28193;	28329;	136;	0.11;	8.12;	1.14;	-22.13;	-1.94;	-2.00;	-22.13;	-1.94;	-2.00
198;	28329;	28457;	128;	0.35;	8.36;	-0.11;	-7.75;	0.25;	-0.37;	-7.75;	0.25;	-0.37
199;	28457;	28585;	128;	0.47;	8.42;	0.30;	0.19;	-0.31;	2.37;	8.88;	-1.12;	1.00
200;	28585;	28715;	130;	0.54;	8.34;	0.01;	7.37;	-1.31;	-0.88;	10.69;	0.25;	-0.69
201;	28715;	28857;	142;	0.40;	8.45;	-0.67;	8.56;	-0.75;	-0.88;	8.56;	-0.75;	-0.88
202;	28857;	28985;	128;	0.47;	8.51;	-0.70;	-0.19;	-0.75;	1.00;	-0.19;	-0.75;	1.00
203;	28985;	29124;	139;	0.46;	8.46;	-0.51;	0.31;	0.25;	0.00;	0.31;	0.25;	0.00
204;	29124;	29253;	129;	0.49;	8.53;	-0.79;	-0.62;	-0.62;	0.50;	-0.62;	-0.62;	0.50
205;	29253;	29381;	128;	0.43;	8.41;	-0.25;	-2.31;	0.62;	0.13;	-2.31;	0.62;	0.13
206;	29381;	29527;	146;	0.46;	8.46;	-0.52;	1.81;	0.44;	-0.31;	1.81;	0.44;	-0.31
207;	29527;	29658;	131;	0.45;	8.45;	-0.50;	1.25;	-0.25;	0.37;	1.25;	-0.25;	0.37
208;	29658;	29788;	130;	0.47;	8.48;	-0.46;	0.31;	0.13;	0.00;	0.31;	0.13;	0.00
209;	29788;	29927;	139;	0.52;	8.50;	-0.79;	2.69;	0.31;	0.75;	2.69;	0.31;	0.75
210;	29927;	30056;	129;	0.86;	10.12;	-0.73;	2.12;	-13.44;	12.06;	2.12;	-13.44;	12.06
211;	30056;	30184;	128;	1.96;	8.25;	-0.50;	32.19;	24.31;	114.19;	32.19;	24.31;	114.19
212;	30184;	30312;	128;	4.73;	5.12;	-0.72;	30.00;	28.81;	187.06;	30.00;	28.81;	187.06
213;	30312;	30440;	128;	10.52;	6.37;	-1.35;	-25.44;	52.06;	194.37;	-25.44;	52.06;	194.37
214;	30440;	30571;	131;	8.63;	2.69;	0.40;	-3.56;	-8.63;	62.81;	-3.56;	-8.63;	62.81
215;	30571;	30710;	139;	8.95;	1.67;	-0.33;	-47.38;	-14.19;	77.12;	-47.38;	-14.19;	77.12
216;	30710;	30838;	128;	9.86;	-0.72;	1.12;	-18.56;	-11.94;	72.69;	-18.56;	-11.94;	72.69
217;	30838;	30966;	128;	9.89;	-1.39;	0.16;	40.19;	-2.69;	39.75;	37.75;	-4.31;	37.38
218;	30966;	31106;	140;	9.71;	-1.40;	-0.63;	1.06;	5.31;	-0.06;	0.81;	7.94;	-0.31
219;	31106;	31234;	128;	9.54;	-1.16;	-0.06;	-3.37;	-5.94;	-0.37;	-10.44;	-8.13;	-0.13
220;	31234;	31364;	130;	9.62;	-1.40;	-0.11;	0.00;	-7.50;	-0.37;	0.00;	-7.50;	-0.37
221;	31364;	31500;	136;	9.67;	-1.40;	-0.49;	0.19;	-3.25;	0.06;	0.19;	-3.25;	0.06
222;	31500;	31627;	127;	9.65;	-1.38;	-0.31;	0.13;	0.37;	0.13;	0.13;	1.12;	-0.06
223;	31627;	31773;	146;	9.61;	-1.36;	-0.12;	-0.44;	-11.25;	-0.75;	-0.44;	-11.25;	-0.75
