Contador	Anterior	Actual	Intervalo	X_acc	Y_acc	Z_acc
471;	40536;	40614;	78;	-0.80;	-0.99;	-9.73
472;	40614;	40694;	80;	-0.87;	-2.02;	-10.67
473;	40694;	40772;	78;	-1.17;	-2.13;	-9.73
474;	40772;	40859;	87;	-0.83;	-2.32;	-9.55
475;	40859;	40937;	78;	0.33;	-2.44;	-8.55
476;	40937;	41031;	94;	0.44;	-1.95;	-9.82
477;	41031;	41109;	78;	0.17;	-1.83;	-9.73
478;	41109;	41188;	79;	0.19;	-2.03;	-10.05
479;	41188;	41266;	78;	0.35;	-1.93;	-9.89
480;	41266;	41346;	80;	0.32;	-1.72;	-9.95
481;	41346;	41424;	78;	0.25;	-1.86;	-9.79
482;	41424;	41502;	78;	0.18;	-1.97;	-15.41
483;	41502;	41580;	78;	0.56;	-3.07;	-17.12
484;	41580;	41659;	79;	1.06;	-1.31;	-9.36
485;	41659;	41751;	92;	-0.45;	0.59;	1.75
486;	41751;	41837;	86;	0.17;	0.35;	1.22
487;	41837;	41914;	77;	1.06;	-0.15;	-4.15
488;	41914;	41992;	78;	-0.07;	-0.43;	-14.19
489;	41992;	42070;	78;	-1.29;	0.14;	-20.84
490;	42070;	42150;	80;	0.03;	0.60;	-19.60
491;	42150;	42228;	78;	2.78;	0.05;	-19.18
492;	42228;	42307;	79;	0.65;	-3.31;	-14.99
493;	42307;	42403;	96;	1.12;	-1.23;	-3.72
494;	42403;	42481;	78;	0.47;	0.99;	4.61
495;	42481;	42561;	80;	-0.09;	0.71;	2.41
496;	42561;	42642;	81;	0.08;	-2.21;	-1.54
497;	42642;	42720;	78;	2.93;	-0.91;	-10.73
498;	42720;	42857;	137;	-0.38;	-1.17;	-19.02
499;	42857;	42935;	78;	0.67;	-1.89;	-22.58
500;	42935;	43014;	79;	1.67;	-3.36;	-17.61
501;	43014;	43094;	80;	1.45;	-0.53;	-5.24
502;	43094;	43183;	89;	0.08;	1.23;	5.53
503;	43183;	43264;	81;	0.28;	0.12;	3.50
504;	43264;	43344;	80;	0.22;	-2.46;	-2.06
505;	43344;	43421;	77;	0.84;	-1.29;	-17.07
506;	43421;	43498;	77;	0.28;	-1.81;	-18.83
507;	43498;	43576;	78;	0.95;	-1.11;	-21.54
508;	43576;	43656;	80;	1.68;	-2.45;	-22.75
509;	43656;	43750;	94;	0.67;	-3.58;	-12.26
510;	43750;	43836;	86;	-0.44;	-0.90;	4.08
511;	43836;	43916;	80;	-0.47;	0.66;	6.79
512;	43916;	43997;	81;	0.13;	0.05;	2.09
513;	43997;	44075;	78;	-0.58;	-2.81;	-2.63
514;	44075;	44154;	79;	-0.46;	-2.65;	-16.00
515;	44154;	44231;	77;	0.79;	-2.07;	-19.09
516;	44231;	44310;	79;	1.20;	-0.56;	-23.77
517;	44310;	44388;	78;	2.22;	-1.64;	-23.14
518;	44388;	44469;	81;	0.27;	-4.09;	-14.33
519;	44469;	44561;	92;	-0.05;	-2.71;	2.91
520;	44561;	44639;	78;	-0.04;	0.74;	5.99
521;	44639;	44728;	89;	0.03;	-0.06;	1.14
522;	44728;	44808;	80;	-0.37;	-3.58;	-3.27
523;	44808;	44885;	77;	-0.07;	-3.50;	-14.88
524;	44885;	44963;	78;	-1.07;	-2.97;	-21.93
525;	44963;	45041;	78;	0.37;	-0.88;	-24.15
526;	45041;	45138;	97;	1.62;	-3.25;	-23.14
527;	45138;	45216;	78;	-0.18;	-6.28;	-17.87
528;	45216;	45294;	78;	0.11;	-3.08;	1.77
529;	45294;	45373;	79;	0.64;	-0.10;	7.09
530;	45373;	45453;	80;	0.53;	-0.38;	4.75
531;	45453;	45531;	78;	-0.46;	-2.32;	-0.72
532;	45531;	45611;	80;	0.09;	-4.93;	-13.36
533;	45611;	45697;	86;	1.37;	-5.55;	-22.31
534;	45697;	45775;	78;	-0.41;	-3.67;	-21.52
535;	45775;	45855;	80;	-0.25;	-2.33;	-15.65
536;	45855;	45944;	89;	-0.18;	-0.53;	-7.88
537;	45944;	46024;	80;	-0.05;	-0.23;	-6.09
538;	46024;	46104;	80;	-0.80;	3.15;	-2.18
539;	46104;	46182;	78;	-2.20;	4.60;	-4.03
540;	46182;	46261;	79;	-4.18;	4.38;	2.13
541;	46261;	46338;	77;	-5.54;	5.77;	6.03
542;	46338;	46434;	96;	-2.27;	3.07;	6.57
543;	46434;	46514;	80;	-0.87;	0.41;	9.88
544;	46514;	46591;	77;	-1.30;	-1.10;	10.49
545;	46591;	46677;	86;	-1.17;	-1.18;	10.62
546;	46677;	46757;	80;	-1.07;	0.61;	6.84
547;	46757;	46834;	77;	3.06;	5.86;	8.37
548;	46834;	46912;	78;	0.22;	-0.79;	9.27
549;	46912;	46990;	78;	-0.35;	-1.13;	9.50
550;	46990;	47069;	79;	-0.36;	-1.08;	9.40
551;	47069;	47149;	80;	2.18;	-1.59;	9.51
552;	47149;	47229;	80;	5.87;	-1.31;	8.40
553;	47229;	47309;	80;	-1.62;	-4.75;	16.10
554;	47309;	47398;	89;	-6.85;	-1.12;	9.54
555;	47398;	47479;	81;	-7.73;	-2.33;	9.52
556;	47479;	47559;	80;	-7.39;	-2.76;	11.74
557;	47559;	47645;	86;	3.62;	-2.31;	8.10
558;	47645;	47722;	77;	11.40;	-6.30;	10.78
559;	47722;	47818;	96;	10.13;	-1.10;	10.34
560;	47818;	47896;	78;	5.66;	-0.82;	8.39
561;	47896;	47974;	78;	-4.75;	-1.20;	9.90
562;	47974;	48052;	78;	-11.82;	-2.32;	9.74
563;	48052;	48132;	80;	-10.39;	-1.69;	10.86
564;	48132;	48212;	80;	-5.63;	0.62;	7.91
565;	48212;	48290;	78;	4.53;	-2.92;	12.78
566;	48290;	48369;	79;	14.39;	-0.67;	8.58
567;	48369;	48447;	78;	9.37;	-0.02;	9.35
568;	48447;	48525;	78;	3.35;	-0.09;	8.54
569;	48525;	48611;	86;	-6.22;	-2.25;	7.71
570;	48611;	48688;	77;	-9.95;	-2.12;	9.80
571;	48688;	48778;	90;	-9.73;	-2.08;	10.65
572;	48778;	48856;	78;	-3.85;	0.08;	8.79
573;	48856;	48936;	80;	10.45;	-0.40;	8.31
574;	48936;	49016;	80;	11.79;	-1.30;	9.35
575;	49016;	49111;	95;	6.80;	1.70;	9.36
576;	49111;	49189;	78;	-2.21;	1.64;	10.11
577;	49189;	49267;	78;	-13.27;	-3.96;	9.64
578;	49267;	49345;	78;	-8.67;	-2.12;	9.63
579;	49345;	49426;	81;	-6.84;	-0.50;	10.72
580;	49426;	49504;	78;	5.13;	1.76;	10.10
581;	49504;	49591;	87;	11.35;	0.11;	8.89
582;	49591;	49669;	78;	2.69;	-2.53;	9.33
583;	49669;	49747;	78;	-1.84;	-11.04;	9.93
584;	49747;	49828;	81;	3.30;	-0.89;	10.36
585;	49828;	49906;	78;	6.97;	6.39;	8.68
586;	49906;	49986;	80;	-1.30;	6.39;	7.79
587;	49986;	50065;	79;	-16.27;	-1.07;	9.11
588;	50065;	50154;	89;	-5.61;	-6.39;	9.56
589;	50154;	50232;	78;	9.24;	-6.91;	9.33
590;	50232;	50310;	78;	13.52;	-0.33;	9.20
591;	50310;	50390;	80;	4.26;	5.41;	13.46
592;	50390;	50487;	97;	-7.63;	6.56;	7.43
593;	50487;	50573;	86;	-13.71;	-1.94;	8.85
594;	50573;	50651;	78;	-0.87;	-8.59;	10.04
595;	50651;	50731;	80;	10.19;	-7.33;	7.01
596;	50731;	50808;	77;	8.12;	6.32;	7.95
597;	50808;	50886;	78;	3.16;	9.78;	8.51
598;	50886;	50964;	78;	-9.50;	3.51;	7.73
599;	50964;	51044;	80;	-10.70;	-2.19;	9.28
600;	51044;	51123;	79;	-4.33;	-5.86;	10.43
601;	51123;	51201;	78;	5.39;	-5.39;	9.95
602;	51201;	51281;	80;	10.62;	-0.67;	14.03
603;	51281;	51359;	78;	8.45;	4.48;	7.68
604;	51359;	51437;	78;	-1.26;	4.41;	0.06
605;	51437;	51535;	98;	-11.41;	-3.27;	5.42
606;	51535;	51612;	77;	-8.46;	-6.73;	13.11
607;	51612;	51691;	79;	0.78;	-8.47;	13.92
608;	51691;	51787;	96;	5.88;	-1.81;	13.00
609;	51787;	51865;	78;	9.00;	3.55;	12.58
610;	51865;	51946;	81;	4.20;	4.57;	8.85
611;	51946;	52026;	80;	-2.30;	3.06;	-1.65
612;	52026;	52104;	78;	-9.42;	-2.49;	2.28
613;	52104;	52184;	80;	-8.95;	-8.63;	14.30
614;	52184;	52262;	78;	-2.20;	-6.31;	12.12
615;	52262;	52340;	78;	2.60;	-3.75;	14.69
616;	52340;	52418;	78;	7.76;	2.31;	18.12
617;	52418;	52506;	88;	7.97;	4.88;	6.88
618;	52506;	52586;	80;	0.34;	2.81;	-0.90
619;	52586;	52664;	78;	-7.12;	0.01;	-1.19
620;	52664;	52742;	78;	-8.11;	-6.08;	12.77
621;	52742;	52820;	78;	-1.06;	-7.71;	15.14
622;	52820;	52900;	80;	4.50;	-6.92;	14.91
623;	52900;	52992;	92;	5.65;	-0.06;	18.89
624;	52992;	53070;	78;	5.24;	5.13;	9.42
625;	53070;	53167;	97;	-2.46;	1.67;	1.66
626;	53167;	53246;	79;	-6.93;	-0.61;	-1.01
627;	53246;	53324;	78;	-10.03;	-9.01;	10.36
628;	53324;	53403;	79;	-0.02;	-7.64;	12.57
629;	53403;	53490;	87;	6.70;	-3.34;	11.11
630;	53490;	53567;	77;	4.70;	0.71;	12.15
631;	53567;	53645;	78;	0.65;	1.75;	9.76
632;	53645;	53723;	78;	-2.91;	-1.98;	11.94
633;	53723;	53803;	80;	0.10;	-0.93;	8.77
634;	53803;	53883;	80;	-0.46;	-0.30;	8.02
635;	53883;	53961;	78;	-0.22;	-0.66;	9.50
636;	53961;	54040;	79;	-0.17;	-0.63;	9.41
637;	54040;	54118;	78;	-0.19;	-0.65;	9.41
638;	54118;	54196;	78;	-0.22;	-0.64;	9.45
639;	54196;	54275;	79;	-0.23;	-0.64;	9.41
640;	54275;	54367;	92;	-0.22;	-0.65;	9.43
641;	54367;	54472;	105;	-0.21;	-0.66;	9.43
642;	54472;	54551;	79;	-0.22;	-0.67;	9.41
643;	54551;	54629;	78;	-0.19;	-0.66;	9.40
644;	54629;	54708;	79;	-0.23;	-0.65;	9.42
645;	54708;	54787;	79;	-0.22;	-0.64;	9.45
646;	54787;	54865;	78;	-0.21;	-0.65;	9.41
647;	54865;	54945;	80;	-0.21;	-0.67;	9.45
648;	54945;	55024;	79;	-0.20;	-0.66;	9.44
649;	55024;	55103;	79;	-0.20;	-0.65;	9.46
650;	55103;	55181;	78;	-0.24;	-0.66;	9.44
651;	55181;	55260;	79;	-0.21;	-0.65;	9.40
652;	55260;	55339;	79;	-0.23;	-0.67;	9.43
653;	55339;	55413;	74;	-0.24;	-0.68;	9.41
654;	55413;	55491;	78;	-0.22;	-0.63;	9.43
655;	55491;	55570;	79;	-0.24;	-0.64;	9.43
656;	55570;	55650;	80;	-0.21;	-0.65;	9.47
657;	55650;	55730;	80;	-0.22;	-0.63;	9.44
658;	55730;	55839;	109;	-0.21;	-0.65;	9.40
659;	55839;	55917;	78;	-0.22;	-0.66;	9.41
660;	55917;	55995;	78;	-0.21;	-0.67;	9.45
661;	55995;	56073;	78;	-0.21;	-0.66;	9.43
662;	56073;	56152;	79;	-0.22;	-0.67;	9.46
663;	56152;	56232;	80;	-0.22;	-0.66;	9.43
664;	56232;	56366;	134;	-0.22;	-0.63;	9.40
665;	56366;	56444;	78;	-0.22;	-0.70;	9.45
666;	56444;	56523;	79;	-0.22;	-0.67;	9.43
667;	56523;	56603;	80;	-0.23;	-0.66;	9.44
668;	56603;	56683;	80;	-0.22;	-0.68;	9.43
669;	56683;	56763;	80;	-0.20;	-0.65;	9.42
670;	56763;	56843;	80;	-0.22;	-0.65;	9.43
671;	56843;	56921;	78;	-0.20;	-0.68;	9.45
672;	56921;	57000;	79;	-0.21;	-0.66;	9.42
673;	57000;	57078;	78;	-0.20;	-0.67;	9.45
674;	57078;	57156;	78;	-0.24;	-0.65;	9.42
675;	57156;	57280;	124;	-0.22;	-0.67;	9.44
676;	57280;	57366;	86;	-0.23;	-0.67;	9.42
677;	57366;	57493;	127;	-0.22;	-0.66;	9.42
678;	57493;	57571;	78;	-0.21;	-0.67;	9.41
679;	57571;	57649;	78;	-0.22;	-0.67;	9.45
680;	57649;	57728;	79;	-0.22;	-0.67;	9.42
681;	57728;	57807;	79;	-0.21;	-0.68;	9.42
682;	57807;	57887;	80;	-0.22;	-0.65;	9.42
683;	57887;	57967;	80;	-0.21;	-0.66;	9.44
684;	57967;	58047;	80;	-0.22;	-0.64;	9.45
685;	58047;	58125;	78;	-0.21;	-0.67;	9.42
686;	58125;	58204;	79;	-0.20;	-0.66;	9.43
687;	58204;	58282;	78;	-0.22;	-0.68;	9.41
688;	58282;	58369;	87;	-0.22;	-0.67;	9.43
689;	58369;	58449;	80;	-0.21;	-0.64;	9.42
690;	58449;	58527;	78;	-0.20;	-0.67;	9.41
691;	58527;	58624;	97;	-0.22;	-0.66;	9.43
692;	58624;	58713;	89;	-0.21;	-0.66;	9.42
693;	58713;	58792;	79;	-0.23;	-0.65;	9.44
694;	58792;	58871;	79;	-0.22;	-0.66;	9.43
695;	58871;	58951;	80;	-0.22;	-0.64;	9.46
696;	58951;	59029;	78;	-0.21;	-0.66;	9.42
697;	59029;	59109;	80;	-0.22;	-0.65;	9.44
698;	59109;	59188;	79;	-0.21;	-0.67;	9.43
699;	59188;	59265;	77;	-0.21;	-0.66;	9.43
700;	59265;	59352;	87;	-0.22;	-0.65;	9.43
701;	59352;	59430;	78;	-0.21;	-0.65;	9.40
702;	59430;	59509;	79;	-0.23;	-0.67;	9.44
703;	59509;	59587;	78;	-0.19;	-0.66;	9.39
704;	59587;	59665;	78;	-0.21;	-0.67;	9.46
705;	59665;	59744;	79;	-0.20;	-0.68;	9.44
706;	59744;	59824;	80;	-0.21;	-0.63;	9.44
707;	59824;	59904;	80;	-0.22;	-0.66;	9.42
708;	59904;	59999;	95;	-0.22;	-0.66;	9.42
709;	59999;	60088;	89;	-0.23;	-0.66;	9.41
710;	60088;	60167;	79;	-0.20;	-0.65;	9.43
711;	60167;	60246;	79;	-0.22;	-0.63;	9.42
712;	60246;	60334;	88;	-0.22;	-0.64;	9.41
713;	60334;	60414;	80;	-0.23;	-0.65;	9.43
714;	60414;	60494;	80;	-0.21;	-0.66;	9.44
715;	60494;	60573;	79;	-0.22;	-0.65;	9.43
716;	60573;	60651;	78;	-0.23;	-0.65;	9.42
717;	60651;	60729;	78;	-0.23;	-0.67;	9.43
718;	60729;	60808;	79;	-0.21;	-0.66;	9.43
719;	60808;	60887;	79;	-0.21;	-0.67;	9.42
720;	60887;	60968;	81;	-0.19;	-0.66;	9.45
721;	60968;	61049;	81;	-0.22;	-0.66;	9.45
722;	61049;	61129;	80;	-0.22;	-0.68;	9.44
723;	61129;	61209;	80;	-0.21;	-0.64;	9.42
724;	61209;	61313;	104;	-0.22;	-0.67;	9.43
725;	61313;	61391;	78;	-0.22;	-0.65;	9.38
726;	61391;	61481;	90;	-0.22;	-0.67;	9.43
727;	61481;	61561;	80;	-0.22;	-0.67;	9.44
728;	61561;	61640;	79;	-0.21;	-0.65;	9.44
729;	61640;	61721;	81;	-0.21;	-0.66;	9.46
730;	61721;	61801;	80;	-0.21;	-0.66;	9.40
731;	61801;	61881;	80;	-0.22;	-0.68;	9.44
732;	61881;	61961;	80;	-0.22;	-0.68;	9.44
733;	61961;	62038;	77;	-0.21;	-0.66;	9.42
734;	62038;	62115;	77;	-0.21;	-0.66;	9.41
735;	62115;	62194;	79;	-0.22;	-0.67;	9.42
736;	62194;	62282;	88;	-0.22;	-0.67;	9.43
737;	62282;	62363;	81;	-0.21;	-0.67;	9.45
738;	62363;	62441;	78;	-0.19;	-0.66;	9.43
739;	62441;	62520;	79;	-0.22;	-0.68;	9.45
740;	62520;	62598;	78;	-0.22;	-0.68;	9.41
741;	62598;	62694;	96;	-0.24;	-0.67;	9.41
742;	62694;	62774;	80;	-0.21;	-0.64;	9.43
743;	62774;	62855;	81;	-0.20;	-0.65;	9.45
744;	62855;	62946;	91;	-0.20;	-0.67;	9.41
745;	62946;	63026;	80;	-0.22;	-0.66;	9.43
746;	63026;	63106;	80;	-0.22;	-0.66;	9.41
747;	63106;	63186;	80;	-0.22;	-0.65;	9.45
748;	63186;	63275;	89;	-0.20;	-0.67;	9.45
749;	63275;	63355;	80;	-0.21;	-0.67;	9.44
750;	63355;	63435;	80;	-0.21;	-0.65;	9.43
751;	63435;	63515;	80;	-0.22;	-0.64;	9.44
752;	63515;	63592;	77;	-0.20;	-0.66;	9.41
753;	63592;	63670;	78;	-0.22;	-0.67;	9.49
754;	63670;	63749;	79;	-0.21;	-0.66;	9.39
755;	63749;	63829;	80;	-0.22;	-0.64;	9.42
756;	63829;	63909;	80;	-0.21;	-0.65;	9.43
757;	63909;	64006;	97;	-0.22;	-0.64;	9.42
758;	64006;	64085;	79;	-0.23;	-0.64;	9.44
759;	64085;	64162;	77;	-0.21;	-0.64;	9.45
760;	64162;	64249;	87;	-0.22;	-0.66;	9.41
761;	64249;	64340;	91;	-0.22;	-0.66;	9.43
762;	64340;	64420;	80;	-0.22;	-0.66;	9.45
763;	64420;	64498;	78;	-0.21;	-0.65;	9.41
764;	64498;	64576;	78;	-0.22;	-0.67;	9.43
765;	64576;	64653;	77;	-0.21;	-0.65;	9.42
766;	64653;	64732;	79;	-0.22;	-0.65;	9.43
767;	64732;	64812;	80;	-0.22;	-0.67;	9.43
768;	64812;	64892;	80;	-0.23;	-0.65;	9.44
769;	64892;	64972;	80;	-0.20;	-0.68;	9.43
770;	64972;	65050;	78;	-0.22;	-0.65;	9.42
771;	65050;	65137;	87;	-0.22;	-0.65;	9.44
772;	65137;	65215;	78;	-0.22;	-0.67;	9.43
773;	65215;	65295;	80;	-0.21;	-0.65;	9.40
774;	65295;	65392;	97;	-0.22;	-0.66;	9.44
775;	65392;	65472;	80;	-0.22;	-0.67;	9.42
776;	65472;	65550;	78;	-0.22;	-0.67;	9.43
777;	65550;	65628;	78;	-0.22;	-0.66;	9.43
778;	65628;	65717;	89;	-0.22;	-0.64;	9.43
779;	65717;	65796;	79;	-0.22;	-0.66;	9.43
780;	65796;	65876;	80;	-0.22;	-0.66;	9.43
781;	65876;	65955;	79;	-0.23;	-0.66;	9.41
782;	65955;	66036;	81;	-0.22;	-0.64;	9.45
783;	66036;	66124;	88;	-0.21;	-0.64;	9.44
784;	66124;	66201;	77;	-0.22;	-0.66;	9.41
785;	66201;	66279;	78;	-0.21;	-0.67;	9.42
786;	66279;	66358;	79;	-0.21;	-0.68;	9.41
787;	66358;	66438;	80;	-0.22;	-0.67;	9.42
788;	66438;	66518;	80;	-0.22;	-0.67;	9.42
789;	66518;	66599;	81;	-0.23;	-0.65;	9.45
790;	66599;	66697;	98;	-0.21;	-0.67;	9.43
791;	66697;	66777;	80;	-0.22;	-0.68;	9.43
792;	66777;	66855;	78;	-0.21;	-0.63;	9.39
793;	66855;	66933;	78;	-0.20;	-0.64;	9.39
794;	66933;	67011;	78;	-0.20;	-0.67;	9.42
795;	67011;	67110;	99;	-0.22;	-0.65;	9.42
796;	67110;	67190;	80;	-0.22;	-0.66;	9.46
797;	67190;	67270;	80;	-0.22;	-0.68;	9.44
798;	67270;	67351;	81;	-0.22;	-0.67;	9.45
799;	67351;	67431;	80;	-0.22;	-0.67;	9.45
800;	67431;	67510;	79;	-0.19;	-0.66;	9.42
801;	67510;	67590;	80;	-0.22;	-0.66;	9.46
802;	67590;	67670;	80;	-0.21;	-0.66;	9.43
803;	67670;	67750;	80;	-0.22;	-0.67;	9.42
804;	67750;	67830;	80;	-0.24;	-0.66;	9.42
805;	67830;	67907;	77;	-0.20;	-0.64;	9.43
806;	67907;	67985;	78;	-0.23;	-0.65;	9.43
807;	67985;	68090;	105;	-0.21;	-0.68;	9.48
808;	68090;	68167;	77;	-0.20;	-0.65;	9.40
809;	68167;	68246;	79;	-0.21;	-0.65;	9.45
810;	68246;	68325;	79;	-0.23;	-0.67;	9.47
811;	68325;	68405;	80;	-0.21;	-0.65;	9.45
812;	68405;	68485;	80;	-0.22;	-0.64;	9.45
813;	68485;	68576;	91;	-0.23;	-0.67;	9.44
