Contador	Anterior	Actual	Intervalo	X_gyr	Y_gyr	Z_gyr
314;	27763;	27842;	79;	0.19;	0.19;	0.00
315;	27842;	27921;	79;	-2.12;	-1.44;	30.12
316;	27921;	28001;	80;	3.00;	0.69;	-0.19
317;	28001;	28081;	80;	24.37;	2.37;	-114.19
318;	28081;	28159;	78;	-20.50;	-5.50;	-209.87
319;	28159;	28239;	80;	31.87;	-7.06;	-334.31
320;	28239;	28317;	78;	-10.50;	-6.87;	-376.00
321;	28317;	28395;	78;	-4.87;	-0.25;	-358.06
322;	28395;	28513;	118;	3.81;	2.87;	-290.94
323;	28513;	28610;	97;	16.87;	-1.94;	-237.19
324;	28610;	28689;	79;	17.19;	-3.75;	-124.69
325;	28689;	28766;	77;	17.50;	10.25;	9.00
326;	28766;	28845;	79;	1.62;	1.00;	0.19
327;	28845;	28922;	77;	0.06;	0.25;	0.13
328;	28922;	29002;	80;	0.44;	0.19;	0.06
329;	29002;	29093;	91;	0.13;	0.19;	-0.06
330;	29093;	29173;	80;	0.06;	0.06;	-0.06
331;	29173;	29253;	80;	0.31;	0.19;	0.00
332;	29253;	29333;	80;	0.13;	0.00;	0.06
333;	29333;	29410;	77;	-0.44;	0.13;	-226.44
334;	29410;	29496;	86;	1.69;	-5.37;	-317.44
335;	29496;	29573;	77;	11.69;	3.06;	-358.69
336;	29573;	29652;	79;	-7.06;	-4.06;	-425.00
337;	29652;	29730;	78;	-2.75;	-2.94;	-370.88
338;	29730;	29808;	78;	-4.06;	8.31;	-163.81
339;	29808;	29887;	79;	-1.81;	-2.19;	11.81
340;	29887;	29981;	94;	1.00;	-0.62;	54.81
341;	29981;	30059;	78;	-6.81;	-3.62;	155.12
342;	30059;	30138;	79;	0.50;	0.88;	300.69
343;	30138;	30216;	78;	-1.75;	6.12;	299.25
344;	30216;	30296;	80;	4.75;	-2.44;	323.19
345;	30296;	30382;	86;	-3.81;	0.50;	339.63
346;	30382;	30472;	90;	5.12;	3.31;	295.94
347;	30472;	30550;	78;	-22.19;	-6.31;	268.81
348;	30550;	30627;	77;	-4.25;	-0.56;	-92.19
349;	30627;	30707;	80;	0.75;	0.37;	-14.00
350;	30707;	30786;	79;	0.19;	0.19;	-0.06
351;	30786;	30863;	77;	0.25;	0.25;	-0.13
352;	30863;	30942;	79;	0.06;	0.19;	-0.13
353;	30942;	31020;	78;	0.00;	-0.06;	0.06
354;	31020;	31100;	80;	1.37;	1.19;	245.19
355;	31100;	31178;	78;	1.69;	4.37;	357.50
356;	31178;	31273;	95;	2.56;	8.88;	368.12
357;	31273;	31361;	88;	-5.00;	0.69;	396.37
358;	31361;	31441;	80;	16.50;	3.87;	375.06
359;	31441;	31518;	77;	1.56;	0.81;	397.19
360;	31518;	31596;	78;	0.69;	0.81;	214.12
361;	31596;	31674;	78;	0.81;	0.13;	-0.19
362;	31674;	31754;	80;	0.31;	0.13;	-0.06
363;	31754;	31834;	80;	0.19;	0.13;	0.00
364;	31834;	31925;	91;	0.00;	-0.06;	-0.13
365;	31925;	32004;	79;	0.19;	0.00;	-0.06
366;	32004;	32084;	80;	0.13;	-0.19;	-0.19
367;	32084;	32165;	81;	0.62;	0.25;	-0.19
368;	32165;	32245;	80;	-7.94;	-0.31;	224.56
369;	32245;	32331;	86;	7.31;	1.44;	238.62
370;	32331;	32408;	77;	-7.87;	-0.69;	333.44
371;	32408;	32486;	78;	-5.31;	0.69;	377.94
372;	32486;	32566;	80;	-4.37;	36.50;	358.87
373;	32566;	32663;	97;	-23.25;	1.00;	246.00
374;	32663;	32741;	78;	1.19;	0.00;	15.81
375;	32741;	32819;	78;	0.31;	0.06;	0.13
376;	32819;	32898;	79;	0.19;	0.00;	-0.06
377;	32898;	32977;	79;	0.37;	0.31;	-0.13
378;	32977;	33057;	80;	0.19;	0.06;	0.13
379;	33057;	33137;	80;	0.25;	0.25;	-0.06
380;	33137;	33218;	81;	0.19;	0.13;	0.00
381;	33218;	33317;	99;	-4.25;	-4.81;	99.62
382;	33317;	33398;	81;	5.44;	2.06;	194.56
383;	33398;	33476;	78;	-0.81;	2.00;	313.12
384;	33476;	33555;	79;	-8.94;	4.25;	348.62
385;	33555;	33633;	78;	-6.62;	3.87;	369.31
386;	33633;	33711;	78;	-5.19;	19.00;	350.62
387;	33711;	33789;	78;	9.81;	12.88;	355.31
388;	33789;	33870;	81;	-17.56;	2.31;	319.31
389;	33870;	33967;	97;	8.38;	-8.31;	179.63
390;	33967;	34045;	78;	-1.75;	2.25;	59.81
391;	34045;	34123;	78;	-0.19;	1.12;	-4.31
392;	34123;	34202;	79;	0.13;	0.13;	-0.69
393;	34202;	34288;	86;	0.19;	0.50;	-0.37
394;	34288;	34365;	77;	-0.62;	-3.44;	-19.00
395;	34365;	34443;	78;	1.00;	-1.00;	-127.81
396;	34443;	34523;	80;	1.25;	-3.31;	-171.81
397;	34523;	34603;	80;	-5.37;	-0.37;	-263.75
398;	34603;	34692;	89;	2.94;	-1.31;	-219.56
399;	34692;	34773;	81;	-5.69;	-1.19;	-163.50
400;	34773;	34853;	80;	0.50;	0.44;	-2.87
401;	34853;	34931;	78;	0.13;	0.13;	-0.06
402;	34931;	35010;	79;	-9.56;	2.00;	11.31
403;	35010;	35088;	78;	4.81;	6.00;	-7.37
404;	35088;	35174;	86;	-7.75;	14.69;	-2.75
405;	35174;	35254;	80;	-2.06;	66.44;	-11.81
406;	35254;	35349;	95;	-4.25;	201.06;	-9.50
407;	35349;	35427;	78;	51.25;	242.75;	-2.25
408;	35427;	35506;	79;	42.69;	258.44;	-5.81
409;	35506;	35583;	77;	12.25;	281.38;	18.12
410;	35583;	35663;	80;	-17.62;	274.44;	5.62
411;	35663;	35741;	78;	59.31;	270.12;	-2.75
412;	35741;	35819;	78;	-7.19;	298.13;	-43.56
413;	35819;	35897;	78;	-26.50;	317.06;	-92.37
414;	35897;	35977;	80;	-32.25;	309.62;	-40.06
415;	35977;	36057;	80;	-107.25;	309.44;	-49.19
416;	36057;	36154;	97;	8.56;	143.75;	-39.50
417;	36154;	36231;	77;	-25.69;	183.25;	-18.81
418;	36231;	36309;	78;	0.06;	158.44;	45.00
419;	36309;	36387;	78;	17.56;	146.56;	-3.69
420;	36387;	36468;	81;	29.37;	113.56;	-21.31
421;	36468;	36546;	78;	29.00;	90.50;	-3.12
422;	36546;	36643;	97;	80.62;	77.06;	10.56
423;	36643;	36721;	78;	21.37;	21.00;	1.37
424;	36721;	36799;	78;	-24.00;	-50.75;	-24.75
425;	36799;	36879;	80;	-106.87;	-88.81;	-5.94
426;	36879;	36959;	80;	-9.75;	-78.50;	-1.81
427;	36959;	37045;	86;	33.88;	-130.00;	37.31
428;	37045;	37122;	77;	22.50;	-169.00;	120.19
429;	37122;	37200;	78;	15.88;	-211.06;	136.12
430;	37200;	37281;	81;	-16.06;	-269.69;	113.12
431;	37281;	37361;	80;	-73.31;	-236.75;	102.31
432;	37361;	37439;	78;	-95.62;	-248.81;	87.69
433;	37439;	37531;	92;	-99.19;	-268.31;	26.50
434;	37531;	37611;	80;	-73.50;	-255.37;	33.69
435;	37611;	37689;	78;	-57.31;	-262.50;	53.94
436;	37689;	37768;	79;	-11.50;	-303.44;	52.00
437;	37768;	37846;	78;	-89.81;	-346.81;	45.81
438;	37846;	37932;	86;	-167.56;	-346.19;	48.81
439;	37932;	38029;	97;	-41.25;	-317.69;	15.94
440;	38029;	38107;	78;	-68.81;	-345.00;	7.50
441;	38107;	38185;	78;	-12.06;	-289.44;	-18.81
442;	38185;	38265;	80;	34.00;	-265.00;	-35.63
443;	38265;	38343;	78;	4.81;	-271.44;	-31.94
444;	38343;	38424;	81;	63.00;	-356.44;	33.25
445;	38424;	38502;	78;	126.94;	-339.50;	68.25
446;	38502;	38581;	79;	38.63;	-317.31;	136.19
447;	38581;	38659;	78;	-67.81;	-239.12;	83.31
448;	38659;	38737;	78;	53.06;	-134.00;	31.37
449;	38737;	38824;	87;	106.81;	-155.12;	71.62
450;	38824;	38912;	88;	126.25;	-157.06;	93.25
451;	38912;	38990;	78;	99.25;	-161.81;	97.56
452;	38990;	39068;	78;	19.50;	-132.44;	90.56
453;	39068;	39146;	78;	19.06;	-80.12;	71.50
454;	39146;	39226;	80;	-30.00;	29.81;	-23.44
455;	39226;	39321;	95;	-95.87;	141.12;	-123.75
456;	39321;	39399;	78;	-53.87;	170.69;	-165.62
457;	39399;	39478;	79;	-179.31;	248.81;	-184.37
458;	39478;	39555;	77;	-174.06;	255.37;	-172.37
459;	39555;	39634;	79;	-147.13;	265.62;	-147.37
460;	39634;	39720;	86;	-123.81;	263.56;	-89.94
461;	39720;	39797;	77;	-127.38;	323.31;	-69.62
462;	39797;	39877;	80;	-176.81;	372.37;	-24.87
463;	39877;	39955;	78;	-150.12;	356.69;	17.06
464;	39955;	40033;	78;	-182.50;	351.19;	53.25
465;	40033;	40111;	78;	-53.06;	242.50;	70.94
466;	40111;	40191;	80;	-58.56;	125.62;	43.31
467;	40191;	40281;	90;	7.69;	24.19;	11.75
468;	40281;	40359;	78;	41.13;	16.56;	3.19
469;	40359;	40440;	81;	-96.63;	-20.37;	-4.62
470;	40440;	40521;	81;	-41.88;	6.31;	3.81
471;	40521;	40607;	86;	23.00;	-5.31;	-8.81
472;	40607;	40701;	94;	7.56;	1.81;	-0.50
473;	40701;	40781;	80;	1.31;	0.62;	1.06
