0;	0;	6706;	6706;	21.01;	755.68;	0.68
245;	16846;	16902;	56;	20.98;	755.84;	-1.11
246;	16902;	16940;	38;	20.98;	755.84;	-1.11
247;	16940;	16978;	38;	20.98;	755.84;	-1.11
248;	16978;	17024;	46;	20.98;	755.84;	-1.11
249;	17024;	17062;	38;	20.98;	755.84;	-1.11
250;	17062;	17100;	38;	21.00;	755.76;	-0.22
251;	17100;	17138;	38;	20.98;	755.73;	0.12
252;	17138;	17176;	38;	21.00;	755.87;	-1.45
253;	17176;	17214;	38;	21.00;	755.76;	-0.22
254;	17214;	17252;	38;	20.98;	755.73;	0.12
255;	17252;	17290;	38;	21.00;	755.76;	-0.22
256;	17290;	17328;	38;	21.00;	755.76;	-0.22
257;	17328;	17366;	38;	21.00;	755.76;	-0.22
258;	17366;	17404;	38;	21.00;	755.76;	-0.22
259;	17404;	17442;	38;	21.00;	755.76;	-0.22
260;	17442;	17500;	58;	21.00;	755.87;	-1.45
261;	17500;	17555;	55;	21.00;	755.76;	-0.22
262;	17555;	17593;	38;	21.00;	755.76;	-0.22
263;	17593;	17631;	38;	21.00;	755.76;	-0.22
264;	17631;	17669;	38;	21.00;	755.76;	-0.22
265;	17669;	17707;	38;	21.00;	755.76;	-0.22
266;	17707;	17745;	38;	21.00;	755.76;	-0.22
267;	17745;	17783;	38;	21.00;	755.87;	-1.45
268;	17783;	17821;	38;	21.00;	755.65;	1.01
269;	17821;	17859;	38;	21.00;	755.76;	-0.22
270;	17859;	17897;	38;	21.00;	755.65;	1.01
271;	17897;	17943;	46;	21.00;	755.76;	-0.22
272;	17943;	17981;	38;	21.00;	755.76;	-0.22
273;	17981;	18019;	38;	20.98;	755.62;	1.35
274;	18019;	18057;	38;	21.00;	755.65;	1.01
275;	18057;	18095;	38;	20.98;	755.73;	0.12
276;	18095;	18133;	38;	21.00;	755.76;	-0.22
277;	18133;	18183;	50;	21.00;	755.76;	-0.22
278;	18183;	18239;	56;	21.00;	755.76;	-0.22
279;	18239;	18277;	38;	20.98;	755.73;	0.12
280;	18277;	18315;	38;	21.00;	755.76;	-0.22
281;	18315;	18353;	38;	20.98;	755.73;	0.12
282;	18353;	18391;	38;	21.00;	755.87;	-1.45
283;	18391;	18437;	46;	20.98;	755.73;	0.12
284;	18437;	18475;	38;	21.00;	755.65;	1.01
285;	18475;	18513;	38;	20.98;	755.84;	-1.11
286;	18513;	18551;	38;	20.98;	755.84;	-1.11
287;	18551;	18589;	38;	20.98;	755.73;	0.12
288;	18589;	18627;	38;	21.00;	755.87;	-1.45
289;	18627;	18665;	38;	20.98;	755.73;	0.12
290;	18665;	18703;	38;	20.98;	755.84;	-1.11
291;	18703;	18741;	38;	20.98;	755.73;	0.12
292;	18741;	18779;	38;	20.98;	755.73;	0.12
293;	18779;	18817;	38;	20.98;	755.73;	0.12
294;	18817;	18904;	87;	20.98;	755.84;	-1.11
295;	18904;	18942;	38;	20.98;	755.73;	0.12
296;	18942;	18980;	38;	20.98;	755.73;	0.12
297;	18980;	19018;	38;	20.98;	755.84;	-1.11
298;	19018;	19056;	38;	20.98;	755.73;	0.12
299;	19056;	19094;	38;	20.98;	755.84;	-1.11
300;	19094;	19132;	38;	20.98;	755.73;	0.12
301;	19132;	19170;	38;	20.98;	755.84;	-1.11
302;	19170;	19208;	38;	20.98;	755.73;	0.12
303;	19208;	19246;	38;	20.98;	755.84;	-1.11
304;	19246;	19284;	38;	20.98;	755.62;	1.35
305;	19284;	19322;	38;	20.98;	755.73;	0.12
306;	19322;	19368;	46;	20.98;	755.73;	0.12
307;	19368;	19406;	38;	20.98;	755.84;	-1.11
308;	19406;	19444;	38;	20.98;	755.73;	0.12
309;	19444;	19482;	38;	20.98;	755.62;	1.35
310;	19482;	19520;	38;	20.98;	755.73;	0.12
311;	19520;	19603;	83;	20.98;	755.73;	0.12
312;	19603;	19641;	38;	20.98;	755.73;	0.12
313;	19641;	19679;	38;	20.98;	755.73;	0.12
314;	19679;	19717;	38;	20.98;	755.73;	0.12
315;	19717;	19755;	38;	20.98;	755.73;	0.12
316;	19755;	19793;	38;	20.98;	755.84;	-1.11
317;	19793;	19872;	79;	20.98;	755.73;	0.12
318;	19872;	19910;	38;	20.96;	755.70;	0.45
319;	19910;	19948;	38;	20.98;	755.73;	0.12
320;	19948;	19986;	38;	20.96;	755.70;	0.45
321;	19986;	20024;	38;	20.98;	755.73;	0.12
322;	20024;	20062;	38;	20.98;	755.73;	0.12
323;	20062;	20100;	38;	20.96;	755.70;	0.45
324;	20100;	20138;	38;	20.98;	755.73;	0.12
325;	20138;	20176;	38;	20.98;	755.73;	0.12
326;	20176;	20214;	38;	20.98;	755.73;	0.12
327;	20214;	20269;	55;	20.98;	755.84;	-1.11
328;	20269;	20307;	38;	20.98;	755.73;	0.12
329;	20307;	20365;	58;	20.98;	755.84;	-1.11
330;	20365;	20403;	38;	20.98;	755.73;	0.12
331;	20403;	20441;	38;	20.96;	755.81;	-0.78
332;	20441;	20479;	38;	20.96;	755.70;	0.45
333;	20479;	20517;	38;	20.98;	755.73;	0.12
334;	20517;	20555;	38;	20.96;	755.70;	0.45
335;	20555;	20593;	38;	20.96;	755.81;	-0.78
336;	20593;	20631;	38;	20.96;	755.81;	-0.78
337;	20631;	20669;	38;	20.96;	755.81;	-0.78
338;	20669;	20707;	38;	20.96;	755.70;	0.45
339;	20707;	20745;	38;	20.96;	755.70;	0.45
340;	20745;	20791;	46;	20.96;	755.70;	0.45
341;	20791;	20829;	38;	20.96;	755.70;	0.45
342;	20829;	20867;	38;	20.96;	755.70;	0.45
343;	20867;	20905;	38;	20.96;	755.70;	0.45
344;	20905;	20961;	56;	20.96;	755.70;	0.45
345;	20961;	20999;	38;	20.96;	755.81;	-0.78
346;	20999;	21048;	49;	20.96;	755.81;	-0.78
347;	21048;	21086;	38;	20.96;	755.81;	-0.78
348;	21086;	21124;	38;	20.96;	755.70;	0.45
349;	21124;	21162;	38;	20.96;	755.81;	-0.78
350;	21162;	21200;	38;	20.96;	755.81;	-0.78
351;	21200;	21238;	38;	20.96;	755.70;	0.45
352;	21238;	21284;	46;	20.96;	755.70;	0.45
353;	21284;	21322;	38;	20.96;	755.70;	0.45
354;	21322;	21360;	38;	20.96;	755.81;	-0.78
355;	21360;	21398;	38;	20.96;	755.81;	-0.78
356;	21398;	21436;	38;	20.96;	755.70;	0.45
357;	21436;	21474;	38;	20.96;	755.70;	0.45
358;	21474;	21512;	38;	20.96;	755.70;	0.45
359;	21512;	21550;	38;	20.96;	755.81;	-0.78
360;	21550;	21606;	56;	20.96;	755.70;	0.45
361;	21606;	21644;	38;	20.96;	755.81;	-0.78
362;	21644;	21682;	38;	20.96;	755.70;	0.45
363;	21682;	21739;	57;	20.96;	755.70;	0.45
364;	21739;	21777;	38;	20.96;	755.70;	0.45
365;	21777;	21815;	38;	20.98;	755.73;	0.12
366;	21815;	21853;	38;	20.96;	755.81;	-0.78
367;	21853;	21891;	38;	20.96;	755.70;	0.45
368;	21891;	21929;	38;	20.98;	755.73;	0.12
369;	21929;	21967;	38;	20.96;	755.70;	0.45
370;	21967;	22005;	38;	20.96;	755.81;	-0.78
371;	22005;	22043;	38;	20.96;	755.81;	-0.78
372;	22043;	22081;	38;	20.96;	755.70;	0.45
373;	22081;	22119;	38;	20.96;	755.81;	-0.78
374;	22119;	22157;	38;	20.96;	755.70;	0.45
375;	22157;	22203;	46;	20.96;	755.70;	0.45
376;	22203;	22241;	38;	20.96;	755.81;	-0.78
377;	22241;	22297;	56;	20.98;	755.73;	0.12
378;	22297;	22335;	38;	20.98;	755.73;	0.12
379;	22335;	22373;	38;	20.96;	755.59;	1.68
380;	22373;	22422;	49;	20.98;	755.84;	-1.11
381;	22422;	22460;	38;	20.98;	755.73;	0.12
382;	22460;	22498;	38;	20.98;	755.73;	0.12
383;	22498;	22536;	38;	20.98;	755.62;	1.35
384;	22536;	22574;	38;	20.98;	755.84;	-1.11
385;	22574;	22612;	38;	20.98;	755.73;	0.12
386;	22612;	22658;	46;	20.98;	755.73;	0.12
387;	22658;	22696;	38;	20.98;	755.73;	0.12
388;	22696;	22734;	38;	20.98;	755.73;	0.12
389;	22734;	22772;	38;	20.98;	755.73;	0.12
390;	22772;	22810;	38;	20.98;	755.84;	-1.11
391;	22810;	22848;	38;	20.98;	755.73;	0.12
392;	22848;	22886;	38;	20.98;	755.84;	-1.11
393;	22886;	22941;	55;	20.98;	755.62;	1.35
394;	22941;	22979;	38;	20.98;	755.73;	0.12
395;	22979;	23017;	38;	20.98;	755.73;	0.12
396;	23017;	23055;	38;	21.00;	755.76;	-0.22
397;	23055;	23093;	38;	20.98;	755.84;	-1.11
398;	23093;	23150;	57;	20.98;	755.73;	0.12
399;	23150;	23188;	38;	20.98;	755.84;	-1.11
400;	23188;	23226;	38;	20.98;	755.84;	-1.11
401;	23226;	23264;	38;	20.98;	755.84;	-1.11
402;	23264;	23302;	38;	20.98;	755.73;	0.12
403;	23302;	23340;	38;	20.98;	755.73;	0.12
404;	23340;	23378;	38;	20.98;	755.73;	0.12
405;	23378;	23416;	38;	20.98;	755.84;	-1.11
406;	23416;	23454;	38;	20.98;	755.62;	1.35
407;	23454;	23492;	38;	20.98;	755.84;	-1.11
408;	23492;	23530;	38;	20.98;	755.84;	-1.11
409;	23530;	23568;	38;	20.96;	755.70;	0.45
410;	23568;	23632;	64;	20.98;	755.84;	-1.11
411;	23632;	23670;	38;	20.98;	755.84;	-1.11
412;	23670;	23708;	38;	20.96;	755.70;	0.45
413;	23708;	23746;	38;	20.96;	755.81;	-0.78
414;	23746;	23784;	38;	20.96;	755.70;	0.45
415;	23784;	23834;	50;	20.96;	755.70;	0.45
416;	23834;	23872;	38;	20.96;	755.70;	0.45
417;	23872;	23910;	38;	20.96;	755.81;	-0.78
418;	23910;	23948;	38;	20.96;	755.70;	0.45
419;	23948;	23986;	38;	20.96;	755.81;	-0.78
420;	23986;	24024;	38;	20.96;	755.81;	-0.78
421;	24024;	24070;	46;	20.96;	755.81;	-0.78
422;	24070;	24108;	38;	20.96;	755.70;	0.45
423;	24108;	24146;	38;	20.95;	755.78;	-0.44
424;	24146;	24184;	38;	20.96;	755.70;	0.45
425;	24184;	24222;	38;	20.96;	755.81;	-0.78
426;	24222;	24278;	56;	20.95;	755.78;	-0.44
427;	24278;	24316;	38;	20.95;	755.66;	0.90
428;	24316;	24354;	38;	20.95;	755.78;	-0.44
429;	24354;	24392;	38;	20.96;	755.81;	-0.78
430;	24392;	24430;	38;	20.96;	755.81;	-0.78
431;	24430;	24468;	38;	20.95;	755.78;	-0.44
432;	24468;	24526;	58;	20.96;	755.81;	-0.78
433;	24526;	24564;	38;	20.96;	755.70;	0.45
434;	24564;	24602;	38;	20.95;	755.78;	-0.44
435;	24602;	24640;	38;	20.95;	755.78;	-0.44
436;	24640;	24678;	38;	20.96;	755.70;	0.45
437;	24678;	24716;	38;	20.95;	755.66;	0.90
438;	24716;	24754;	38;	20.96;	755.81;	-0.78
439;	24754;	24792;	38;	20.96;	755.70;	0.45
440;	24792;	24830;	38;	20.96;	755.81;	-0.78
441;	24830;	24868;	38;	20.95;	755.78;	-0.44
442;	24868;	24906;	38;	20.96;	755.70;	0.45
443;	24906;	24962;	56;	20.95;	755.66;	0.90
444;	24962;	25008;	46;	20.96;	755.70;	0.45
445;	25008;	25046;	38;	20.96;	755.70;	0.45
446;	25046;	25084;	38;	20.96;	755.70;	0.45
447;	25084;	25122;	38;	20.95;	755.66;	0.90
448;	25122;	25160;	38;	20.96;	755.81;	-0.78
449;	25160;	25210;	50;	20.95;	755.66;	0.90
450;	25210;	25248;	38;	20.96;	755.70;	0.45
451;	25248;	25286;	38;	20.96;	755.70;	0.45
452;	25286;	25324;	38;	20.95;	755.66;	0.90
453;	25324;	25362;	38;	20.96;	755.70;	0.45
454;	25362;	25400;	38;	20.96;	755.70;	0.45
455;	25400;	25438;	38;	20.95;	755.66;	0.90
456;	25438;	25484;	46;	20.95;	755.78;	-0.44
457;	25484;	25522;	38;	20.96;	755.70;	0.45
458;	25522;	25560;	38;	20.96;	755.70;	0.45
459;	25560;	25615;	55;	20.96;	755.70;	0.45
460;	25615;	25653;	38;	20.96;	755.81;	-0.78
461;	25653;	25691;	38;	20.96;	755.81;	-0.78
462;	25691;	25729;	38;	20.96;	755.70;	0.45
463;	25729;	25767;	38;	20.96;	755.70;	0.45
464;	25767;	25805;	38;	20.96;	755.70;	0.45
465;	25805;	25843;	38;	20.96;	755.70;	0.45
466;	25843;	25881;	38;	20.96;	755.81;	-0.78
467;	25881;	25939;	58;	20.96;	755.81;	-0.78
468;	25939;	25977;	38;	20.96;	755.81;	-0.78
469;	25977;	26015;	38;	20.95;	755.78;	-0.44
470;	26015;	26053;	38;	20.95;	755.55;	2.13
471;	26053;	26091;	38;	20.96;	755.70;	0.45
472;	26091;	26129;	38;	20.96;	755.81;	-0.78
473;	26129;	26167;	38;	20.96;	755.70;	0.45
474;	26167;	26205;	38;	20.96;	755.70;	0.45
475;	26205;	26243;	38;	20.96;	755.70;	0.45
476;	26243;	26299;	56;	20.96;	755.70;	0.45
477;	26299;	26337;	38;	20.96;	755.70;	0.45
478;	26337;	26375;	38;	20.96;	755.81;	-0.78
479;	26375;	26454;	79;	20.96;	755.81;	-0.78
480;	26454;	26492;	38;	20.95;	755.89;	-1.67
481;	26492;	26530;	38;	20.96;	755.81;	-0.78
482;	26530;	26568;	38;	20.96;	755.70;	0.45
483;	26568;	26606;	38;	20.95;	755.66;	0.90
484;	26606;	26655;	49;	20.96;	755.81;	-0.78
485;	26655;	26693;	38;	20.96;	755.81;	-0.78
486;	26693;	26731;	38;	20.96;	755.70;	0.45
487;	26731;	26769;	38;	20.96;	755.81;	-0.78
488;	26769;	26807;	38;	20.95;	755.66;	0.90
489;	26807;	26845;	38;	20.96;	755.81;	-0.78
490;	26845;	26891;	46;	20.96;	755.70;	0.45
