Contador	Anterior	Actual	Intervalo	X_acc	Y_acc	Z_avv	X_gyr	Y_gyr	Z_gyr	X_mag	Y_mag	Z_mah
65;	10727;	10856;	129;	0.17;	-1.00;	9.41;	-0.06;	0.06;	-0.06;	-0.06;	0.06;	-0.06
66;	10856;	10995;	139;	0.20;	-1.00;	9.43;	0.06;	-0.06;	0.00;	0.06;	-0.06;	0.00
67;	10995;	11136;	141;	0.19;	-1.00;	9.44;	-0.06;	-0.06;	-0.13;	-0.06;	-0.06;	-0.13
68;	11136;	11266;	130;	0.20;	-1.00;	9.45;	0.00;	0.06;	-0.06;	0.00;	0.06;	-0.06
69;	11266;	11395;	129;	0.17;	-1.02;	9.42;	-0.13;	-0.06;	0.00;	-0.13;	-0.06;	0.00
70;	11395;	11523;	128;	0.21;	-0.98;	9.43;	0.00;	0.06;	-0.06;	0.00;	0.06;	-0.06
71;	11523;	11652;	129;	0.19;	-1.01;	9.45;	-0.13;	0.13;	0.00;	-0.06;	0.13;	0.00
72;	11652;	11782;	130;	0.19;	-1.02;	9.43;	0.00;	0.06;	0.00;	-0.13;	0.06;	0.00
73;	11782;	11938;	156;	0.21;	-0.98;	9.42;	-0.13;	0.00;	0.00;	-0.13;	0.00;	0.00
74;	11938;	12067;	129;	0.19;	-1.00;	9.43;	0.06;	-0.06;	0.00;	0.06;	-0.06;	0.00
75;	12067;	12195;	128;	0.19;	-1.01;	9.45;	0.06;	0.13;	0.00;	0.06;	0.13;	0.00
76;	12195;	12324;	129;	0.19;	-1.01;	9.43;	0.06;	0.13;	-0.06;	0.13;	0.13;	0.06
77;	12324;	12454;	130;	0.19;	-0.99;	9.44;	0.19;	0.19;	0.00;	0.19;	-0.13;	0.06
78;	12454;	12584;	130;	0.19;	-1.01;	9.43;	-0.13;	0.00;	0.00;	-0.13;	0.00;	0.00
79;	12584;	12722;	138;	0.19;	-0.97;	9.42;	-0.06;	0.19;	-0.13;	-0.06;	0.19;	-0.13
80;	12722;	12852;	130;	0.18;	-0.99;	9.44;	-0.06;	-0.13;	0.00;	-0.06;	-0.13;	0.00
81;	12852;	12982;	130;	0.18;	-0.97;	9.47;	-0.06;	0.13;	-0.06;	-0.06;	0.13;	-0.06
82;	12982;	13110;	128;	0.19;	-1.00;	9.44;	-0.06;	-0.06;	-0.06;	-0.06;	-0.06;	-0.06
83;	13110;	13238;	128;	0.18;	-1.01;	9.44;	-0.06;	-0.06;	0.00;	0.00;	0.06;	0.00
84;	13238;	13378;	140;	0.17;	-1.00;	9.44;	0.06;	0.00;	0.00;	-0.06;	0.06;	-0.06
85;	13378;	13547;	169;	0.19;	-1.00;	9.45;	-0.13;	0.06;	0.06;	-0.13;	0.06;	0.06
86;	13547;	13677;	130;	0.21;	-1.00;	9.45;	0.00;	0.00;	-0.06;	0.00;	0.00;	-0.06
87;	13677;	13808;	131;	0.20;	-1.00;	9.43;	0.00;	0.06;	-0.06;	-0.06;	0.00;	-0.13
88;	13808;	13938;	130;	0.18;	-0.99;	9.45;	0.06;	0.06;	0.06;	0.06;	0.06;	0.06
89;	13938;	14085;	147;	0.20;	-1.01;	9.44;	-0.13;	-0.06;	0.00;	-0.13;	-0.06;	0.00
90;	14085;	14213;	128;	0.19;	-1.01;	9.45;	-0.06;	0.06;	0.00;	-0.06;	0.06;	0.00
91;	14213;	14341;	128;	0.18;	-0.98;	9.44;	-0.19;	-0.06;	0.00;	0.00;	-0.13;	-0.06
92;	14341;	14479;	138;	0.23;	-1.03;	9.57;	-0.13;	-0.19;	0.06;	-0.13;	-0.19;	0.06
93;	14479;	14610;	131;	0.18;	-1.00;	9.43;	-0.06;	0.06;	-0.06;	-0.06;	0.06;	-0.06
94;	14610;	14741;	131;	0.20;	-0.99;	9.46;	0.00;	0.13;	-0.06;	0.00;	0.13;	-0.06
95;	14741;	14870;	129;	0.20;	-1.01;	9.41;	-0.06;	-0.06;	-0.06;	-0.06;	-0.06;	-0.06
96;	14870;	15001;	131;	0.21;	-0.99;	9.43;	-0.06;	0.00;	0.00;	-0.06;	0.00;	0.00
97;	15001;	15132;	131;	0.19;	-1.00;	9.42;	-0.06;	-0.13;	0.06;	-0.06;	-0.13;	0.06
98;	15132;	15271;	139;	0.18;	-1.00;	9.43;	0.00;	-0.13;	-0.06;	0.00;	-0.13;	-0.06
99;	15271;	15401;	130;	0.18;	-0.99;	9.44;	-0.13;	-0.13;	0.00;	-0.13;	-0.13;	0.00
100;	15401;	15530;	129;	0.20;	-1.01;	9.45;	0.06;	0.00;	0.00;	0.06;	0.00;	0.00
101;	15530;	15669;	139;	0.20;	-1.01;	9.43;	-0.06;	0.13;	-0.06;	-0.06;	0.13;	-0.06
102;	15669;	15797;	128;	0.20;	-1.00;	9.44;	0.00;	0.06;	0.00;	-0.06;	0.19;	0.00
103;	15797;	15926;	129;	0.21;	-0.99;	9.44;	-0.06;	-0.19;	0.00;	0.06;	0.06;	-0.13
104;	15926;	16064;	138;	0.20;	-1.00;	9.42;	-0.06;	0.00;	0.06;	-0.06;	0.00;	0.06
105;	16064;	16194;	130;	0.20;	-1.01;	9.46;	-0.06;	0.00;	-0.19;	-0.06;	0.00;	-0.19
106;	16194;	16340;	146;	0.19;	-1.00;	9.44;	0.00;	0.13;	0.06;	0.00;	0.13;	0.06
107;	16340;	16469;	129;	0.19;	-1.00;	9.44;	0.00;	0.00;	0.00;	0.19;	-0.25;	0.13
108;	16469;	16598;	129;	0.20;	-0.99;	9.42;	0.00;	-0.06;	-0.06;	0.00;	-0.06;	-0.06
109;	16598;	16727;	129;	0.18;	-1.00;	9.42;	0.06;	-0.06;	0.06;	0.06;	-0.06;	0.06
110;	16727;	16858;	131;	0.21;	-1.00;	9.43;	-0.19;	0.00;	-0.13;	-0.19;	0.00;	-0.13
111;	16858;	16997;	139;	0.18;	-1.01;	9.43;	-0.13;	-0.06;	-0.19;	-0.13;	-0.06;	-0.19
112;	16997;	17124;	127;	0.19;	-0.99;	9.43;	0.00;	-0.13;	0.00;	0.00;	-0.13;	0.00
113;	17124;	17252;	128;	0.19;	-1.01;	9.46;	-0.13;	-0.19;	0.06;	-0.06;	-0.13;	-0.13
114;	17252;	17381;	129;	0.18;	-1.00;	9.40;	0.06;	0.00;	0.00;	0.06;	0.06;	0.00
115;	17381;	17511;	130;	0.20;	-0.99;	9.47;	-0.06;	0.00;	0.06;	-0.06;	0.00;	0.06
116;	17511;	17641;	130;	0.18;	-0.99;	9.42;	0.00;	-0.19;	0.13;	0.00;	-0.19;	0.13
117;	17641;	17808;	167;	0.19;	-1.00;	9.44;	0.19;	0.06;	-0.13;	0.19;	0.06;	-0.13
118;	17808;	17936;	128;	0.21;	-1.00;	9.42;	-0.06;	-0.06;	0.00;	-0.06;	-0.06;	0.00
119;	17936;	18064;	128;	0.21;	-1.00;	9.44;	-0.06;	0.00;	-0.06;	-0.06;	-0.13;	0.06
120;	18064;	18194;	130;	0.20;	-1.01;	9.43;	-0.06;	-0.06;	-0.06;	0.06;	0.00;	0.00
121;	18194;	18324;	130;	0.20;	-1.00;	9.42;	0.00;	-0.06;	0.00;	0.00;	-0.06;	0.00
122;	18324;	18472;	148;	0.19;	-1.00;	9.43;	0.06;	0.00;	-0.06;	0.06;	0.00;	-0.06
123;	18472;	18610;	138;	0.19;	-1.01;	9.45;	0.00;	0.06;	0.00;	0.00;	0.06;	0.00
124;	18610;	18738;	128;	0.19;	-1.01;	9.44;	0.00;	0.06;	0.00;	0.00;	0.06;	0.00
125;	18738;	18867;	129;	0.19;	-1.01;	9.42;	-0.06;	0.00;	0.00;	0.00;	0.00;	-0.13
126;	18867;	18997;	130;	0.19;	-1.00;	9.41;	0.06;	-0.06;	0.00;	-0.13;	0.00;	0.06
127;	18997;	19127;	130;	0.19;	-1.02;	9.44;	0.00;	0.06;	0.06;	0.00;	0.06;	0.06
128;	19127;	19257;	130;	0.21;	-1.00;	9.44;	-0.06;	0.25;	-0.06;	-0.06;	0.25;	-0.06
129;	19257;	19394;	137;	0.19;	-1.00;	9.42;	0.00;	-0.06;	0.13;	0.00;	-0.06;	0.13
130;	19394;	19522;	128;	0.20;	-1.00;	9.46;	0.06;	0.00;	0.00;	0.06;	0.00;	0.00
131;	19522;	19650;	128;	0.20;	-0.99;	9.40;	0.00;	0.06;	0.00;	-0.13;	-0.06;	0.00
132;	19650;	19780;	130;	0.20;	-1.00;	9.43;	-0.06;	0.00;	-0.13;	0.00;	0.00;	-0.06
133;	19780;	19910;	130;	0.20;	-1.01;	9.42;	-0.06;	0.06;	-0.13;	-0.06;	0.06;	-0.13
134;	19910;	20051;	141;	0.19;	-0.99;	9.47;	0.13;	0.00;	0.00;	0.06;	-0.06;	0.06
135;	20051;	20181;	130;	0.18;	-0.98;	9.41;	0.00;	-0.06;	0.06;	0.06;	0.19;	0.00
136;	20181;	20319;	138;	0.21;	-1.01;	9.44;	-0.13;	0.00;	-0.13;	-0.13;	0.00;	-0.13
137;	20319;	20448;	129;	0.20;	-1.00;	9.44;	0.06;	-0.06;	-0.06;	0.06;	-0.06;	-0.06
138;	20448;	20576;	128;	0.22;	-0.99;	9.43;	0.19;	-0.19;	0.00;	0.19;	-0.19;	0.00
139;	20576;	20722;	146;	0.19;	-1.00;	9.45;	0.00;	0.00;	0.06;	0.00;	0.00;	0.06
140;	20722;	20852;	130;	0.20;	-1.01;	9.43;	0.13;	0.00;	0.00;	0.13;	0.00;	0.00
141;	20852;	20983;	131;	0.18;	-1.00;	9.44;	-0.06;	0.06;	0.00;	-0.06;	0.06;	0.00
142;	20983;	21122;	139;	0.19;	-1.01;	9.45;	0.00;	0.06;	0.13;	0.00;	0.06;	0.13
143;	21122;	21252;	130;	0.19;	-1.02;	9.44;	0.06;	-0.31;	0.06;	0.06;	-0.31;	0.06
144;	21252;	21382;	130;	0.19;	-0.99;	9.44;	0.06;	0.06;	0.06;	0.06;	0.06;	0.06
145;	21382;	21511;	129;	0.19;	-1.01;	9.43;	0.00;	-0.06;	0.06;	0.00;	-0.06;	0.06
146;	21511;	21639;	128;	0.18;	-1.00;	9.44;	0.00;	-0.06;	-0.06;	0.00;	-0.06;	-0.06
147;	21639;	21767;	128;	0.19;	-0.99;	9.46;	-0.13;	-0.06;	0.06;	-0.13;	-0.06;	0.06
148;	21767;	21904;	137;	0.20;	-1.00;	9.42;	0.19;	-0.06;	0.00;	0.19;	-0.06;	0.00
149;	21904;	22033;	129;	0.20;	-1.00;	9.44;	-0.06;	-0.13;	-0.06;	-0.06;	-0.13;	-0.06
150;	22033;	22161;	128;	0.21;	-1.00;	9.43;	0.13;	-0.13;	0.06;	0.13;	-0.13;	0.06
151;	22161;	22300;	139;	0.21;	-1.01;	9.42;	0.00;	0.00;	0.00;	0.13;	0.06;	-0.06
152;	22300;	22429;	129;	0.20;	-1.01;	9.44;	0.00;	0.06;	-0.06;	0.00;	0.06;	-0.06
153;	22429;	22559;	130;	0.20;	-0.98;	9.45;	0.13;	0.00;	0.06;	0.13;	0.06;	-0.06
154;	22559;	22689;	130;	0.20;	-1.00;	9.42;	-0.06;	0.25;	-0.06;	-0.06;	0.25;	-0.06
155;	22689;	22846;	157;	0.20;	-1.01;	9.42;	-0.06;	-0.06;	0.00;	-0.06;	-0.06;	0.00
156;	22846;	22974;	128;	0.19;	-1.02;	9.46;	-0.06;	0.06;	0.00;	-0.06;	0.06;	0.00
157;	22974;	23102;	128;	0.21;	-1.01;	9.42;	0.00;	-0.19;	0.00;	-0.06;	0.00;	-0.06
158;	23102;	23231;	129;	0.19;	-1.00;	9.44;	-0.06;	0.13;	0.00;	-0.06;	0.13;	0.00
159;	23231;	23361;	130;	0.18;	-1.01;	9.45;	-0.06;	-0.19;	0.00;	-0.06;	-0.19;	0.00
160;	23361;	23492;	131;	0.19;	-1.02;	9.44;	-0.06;	-0.19;	0.06;	-0.06;	-0.19;	0.06
161;	23492;	23643;	151;	0.21;	-0.99;	9.43;	0.06;	0.00;	0.00;	0.06;	-0.06;	0.00
162;	23643;	23773;	130;	0.19;	-0.99;	9.42;	-0.13;	0.00;	-0.13;	-0.13;	0.00;	-0.13
163;	23773;	23902;	129;	0.17;	-1.00;	9.42;	-0.13;	0.13;	-0.06;	-0.13;	0.13;	-0.06
164;	23902;	24033;	131;	0.18;	-1.00;	9.43;	-0.06;	0.00;	-0.06;	-0.06;	0.00;	-0.06
165;	24033;	24164;	131;	0.19;	-0.99;	9.45;	-0.06;	-0.19;	-0.06;	-0.06;	-0.19;	-0.06
166;	24164;	24295;	131;	0.20;	-1.00;	9.42;	0.00;	0.06;	0.06;	0.00;	0.00;	-0.06
167;	24295;	24445;	150;	0.19;	-0.99;	9.41;	0.00;	0.06;	0.00;	0.00;	0.06;	0.00
168;	24445;	24575;	130;	0.20;	-1.02;	9.44;	-0.06;	0.00;	0.06;	-0.06;	0.00;	0.06
169;	24575;	24703;	128;	0.20;	-1.00;	9.46;	0.00;	0.06;	0.06;	0.00;	0.06;	0.06
170;	24703;	24832;	129;	0.20;	-1.01;	9.45;	0.00;	-0.13;	0.06;	0.00;	-0.13;	0.06
171;	24832;	24960;	128;	0.20;	-1.01;	9.42;	0.06;	0.06;	-0.13;	0.06;	0.06;	-0.13
172;	24960;	25106;	146;	0.19;	-1.02;	9.43;	0.13;	-0.19;	0.00;	0.13;	-0.19;	0.00
173;	25106;	25237;	131;	0.19;	-1.01;	9.43;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00
174;	25237;	25408;	171;	0.18;	-1.01;	9.40;	0.06;	-0.06;	-0.06;	0.06;	-0.06;	-0.06
175;	25408;	25538;	130;	0.20;	-1.00;	9.43;	0.06;	0.13;	-0.06;	0.06;	0.13;	-0.06
176;	25538;	25669;	131;	0.18;	-1.00;	9.42;	-0.06;	-0.13;	0.06;	-0.06;	-0.13;	0.06
177;	25669;	25800;	131;	0.19;	-1.01;	9.45;	0.06;	0.00;	-0.06;	0.06;	0.00;	-0.06
178;	25800;	25930;	130;	0.21;	-1.00;	9.45;	0.06;	0.06;	0.06;	0.06;	0.06;	0.06
179;	25930;	26059;	129;	0.18;	-0.98;	9.42;	0.00;	0.06;	0.06;	0.00;	0.06;	0.06
180;	26059;	26198;	139;	0.21;	-1.03;	9.46;	-0.13;	0.06;	-0.06;	-0.13;	0.06;	-0.06
181;	26198;	26327;	129;	0.21;	-1.00;	9.44;	0.06;	-0.06;	0.13;	0.06;	-0.06;	0.13
182;	26327;	26455;	128;	0.17;	-1.00;	9.41;	0.13;	-0.19;	-0.06;	0.13;	-0.19;	-0.06
183;	26455;	26584;	129;	0.20;	-1.01;	9.44;	-0.25;	0.13;	-0.06;	-0.06;	0.06;	-0.06
184;	26584;	26725;	141;	0.18;	-0.98;	9.42;	0.00;	0.13;	-0.06;	0.06;	-0.06;	0.00
185;	26725;	26854;	129;	0.20;	-1.02;	9.44;	0.00;	-0.19;	-0.06;	-0.06;	0.00;	0.06
186;	26854;	26992;	138;	0.22;	-1.00;	9.44;	0.13;	0.00;	0.06;	0.13;	0.00;	0.06
187;	26992;	27122;	130;	0.21;	-1.00;	9.43;	0.13;	0.06;	0.00;	0.13;	0.06;	0.00
188;	27122;	27269;	147;	0.19;	-1.00;	9.44;	-0.06;	0.00;	0.00;	-0.06;	0.00;	0.00
189;	27269;	27397;	128;	0.19;	-1.00;	9.43;	0.13;	-0.19;	0.00;	-0.06;	-0.06;	0.00
190;	27397;	27526;	129;	0.20;	-1.02;	9.42;	-0.06;	0.00;	-0.06;	0.00;	-0.13;	-0.06
191;	27526;	27656;	130;	0.17;	-0.97;	9.43;	0.00;	0.13;	0.00;	0.00;	0.13;	0.00
192;	27656;	27795;	139;	0.21;	-1.00;	9.45;	0.00;	-0.13;	0.13;	0.00;	-0.13;	0.13
193;	27795;	27925;	130;	0.18;	-1.01;	9.44;	-0.06;	0.06;	0.00;	-0.06;	0.06;	0.00
194;	27925;	28055;	130;	0.18;	-1.01;	9.42;	0.06;	-0.06;	-0.06;	0.06;	-0.06;	-0.06
195;	28055;	28185;	130;	0.21;	-1.00;	9.45;	0.06;	0.00;	0.00;	0.06;	0.00;	0.00
196;	28185;	28313;	128;	0.21;	-0.99;	9.42;	0.06;	0.06;	0.00;	0.06;	0.06;	0.00
197;	28313;	28441;	128;	0.20;	-1.00;	9.42;	0.06;	0.19;	-0.06;	0.06;	0.19;	-0.06
198;	28441;	28570;	129;	0.20;	-0.99;	9.43;	0.00;	0.06;	-0.06;	-0.06;	0.19;	-0.13
199;	28570;	28708;	138;	0.17;	-1.01;	9.42;	0.00;	0.06;	0.19;	0.00;	0.06;	0.19
200;	28708;	28838;	130;	0.21;	-0.97;	9.46;	0.00;	-0.06;	0.13;	0.00;	-0.06;	0.13
201;	28838;	28977;	139;	0.18;	-1.02;	9.42;	0.06;	-0.06;	0.13;	0.06;	-0.06;	0.13
202;	28977;	29105;	128;	0.21;	-0.98;	9.46;	0.00;	0.06;	0.06;	0.00;	0.06;	0.06
203;	29105;	29233;	128;	0.19;	-1.01;	9.43;	-0.06;	0.00;	-0.06;	0.00;	0.00;	-0.06
204;	29233;	29363;	130;	0.17;	-1.01;	9.42;	0.00;	0.00;	0.13;	0.06;	0.00;	0.00
205;	29363;	29519;	156;	0.18;	-1.00;	9.42;	0.00;	0.06;	0.06;	0.00;	0.06;	0.06
206;	29519;	29647;	128;	0.18;	-1.00;	9.45;	0.06;	0.00;	-0.19;	0.06;	0.00;	-0.19
207;	29647;	29775;	128;	0.22;	-1.02;	9.42;	0.00;	-0.06;	0.06;	0.06;	-0.06;	0.06
208;	29775;	29904;	129;	0.22;	-1.00;	9.46;	0.00;	0.06;	0.06;	-0.06;	0.19;	-0.13
209;	29904;	30034;	130;	0.21;	-0.98;	9.44;	0.06;	-0.13;	0.00;	0.06;	-0.13;	0.00
210;	30034;	30165;	131;	0.21;	-1.01;	9.42;	0.06;	-0.06;	-0.06;	-0.13;	-0.06;	-0.06
211;	30165;	30295;	130;	0.22;	-1.00;	9.44;	0.00;	0.06;	0.00;	0.00;	0.06;	0.00
212;	30295;	30432;	137;	0.17;	-0.97;	9.43;	0.19;	0.00;	-0.13;	0.19;	0.00;	-0.13
213;	30432;	30560;	128;	0.21;	-1.01;	9.43;	0.06;	-0.13;	0.06;	0.06;	-0.13;	0.06
214;	30560;	30688;	128;	0.20;	-1.00;	9.43;	0.06;	0.06;	0.00;	0.13;	0.00;	-0.06
215;	30688;	30818;	130;	0.17;	-0.92;	9.48;	0.19;	0.19;	-0.19;	-0.06;	0.00;	0.06
216;	30818;	30948;	130;	0.17;	-1.08;	9.34;	-0.13;	-0.25;	0.13;	-0.13;	-0.25;	0.13
217;	30948;	31077;	129;	0.34;	-1.02;	9.51;	-0.13;	-0.06;	-0.25;	-0.13;	-0.06;	-0.25
218;	31077;	31228;	151;	0.21;	-1.05;	9.41;	-0.13;	-0.13;	0.00;	-0.13;	-0.13;	0.00
219;	31228;	31358;	130;	0.23;	-0.95;	9.47;	0.13;	0.00;	-0.19;	0.13;	0.00;	-0.19
220;	31358;	31489;	131;	0.14;	-0.97;	9.42;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00
221;	31489;	31637;	148;	0.20;	-0.99;	9.44;	-0.06;	0.06;	-0.19;	-0.06;	0.06;	-0.19
222;	31637;	31766;	129;	0.19;	-0.99;	9.43;	-0.06;	0.06;	0.00;	-0.06;	0.06;	0.00
223;	31766;	31894;	128;	0.22;	-0.99;	9.43;	0.06;	0.00;	0.00;	0.06;	0.00;	0.00
224;	31894;	32031;	137;	0.23;	-1.02;	9.43;	-0.06;	0.00;	-0.19;	-0.06;	0.00;	-0.19
225;	32031;	32161;	130;	0.19;	-1.00;	9.44;	0.00;	0.00;	0.00;	0.00;	0.00;	0.00
